log10_input_na+1,log10_input_h4sio4,log10_input_al+3,input_ca+2_mol_l,input_mg+2_mol_l,input_na+1_mol_l,input_k+1_mol_l,si_quartz,si_k-feld-d-ph,total_base_cations_mol_l,base_cation_log_resdual,alkalinity,ionic_strength
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,0.004004876641974052,0.0017725013181517045,0.0018299999999999994,0.0023565163890473958,0.91,0.111,0.0099639,0.4894689270297363,0.00025849,0.021229
-2.792299888474962,-3.1655792963184672,-9.169411331314855,0.0031123410946368064,0.0013774778066727783,0.0016132441967903384,0.002077396934028435,0.91,0.065,0.0081804,0.4038141068691289,0.00025217,0.016964
-2.7375489102695707,-3.2288908822448366,-9.169411331314855,0.004004876641974052,0.0017725013181517045,0.0018299999999999994,0.0023565163890473958,0.847,-0.079,0.0099639,0.4894689270297363,0.00025849,0.021229
-2.7375489102695707,-3.1655792963184672,-9.352799557941152,0.004004876641974052,0.0017725013181517045,0.0018299999999999994,0.0023565163890473958,0.91,-0.073,0.0099639,0.4894689270297363,0.00025849,0.021229
-2.985489821989197,-3.487043061241186,-9.142911526940638,0.0012785193933986905,0.0005658544601175705,0.0010339753326713032,0.0013314643810440764,0.587,-1.038,0.00420985,0.11530618870792306,0.00023623,0.0078484
-3.045199618428981,-3.487043061241186,-9.142911526940638,0.0009711531589918532,0.0004298185458196204,0.0009011568360955185,0.00116043216030666,0.587,-1.091,0.00346253,0.030433111719528227,0.0002328,0.006231
-2.985489821989197,-3.5567839224660096,-9.142911526940638,0.0012785193933986905,0.0005658544601175705,0.0010339753326713032,0.0013314643810440764,0.518,-1.248,0.00420985,0.11530618870792306,0.00023623,0.0078484
-2.985489821989197,-3.487043061241186,-9.325769757479451,0.0012785193933986905,0.0005658544601175705,0.0010339753326713032,0.0013314643810440764,0.587,-1.221,0.00420985,0.11530618870792306,0.00023623,0.0078484
-3.060860754321517,-3.961433611122196,-7.620150881059468,0.0009035775986097598,0.0003999105659840515,0.000869239084413912,0.0011193312286458673,0.113,-1.005,0.0032920299999999996,0.008503351071388023,0.00023199,0.0058689
-3.1220779694079477,-3.961433611122196,-7.620150881059468,0.0006816022654497199,0.00030166744745708553,0.0007549566772225018,0.0009721681873746398,0.113,-1.06,0.0027104,-0.07592704452633935,0.00022914,0.0046569
-3.060860754321517,-4.0406622833446395,-7.620150881059468,0.0009035775986097598,0.0003999105659840515,0.000869239084413912,0.0011193312286458673,0.034,-1.243,0.0032920299999999996,0.008503351071388023,0.00023199,0.0058689
-3.060860754321517,-3.961433611122196,-7.772553898680657,0.0009035775986097598,0.0003999105659840515,0.000869239084413912,0.0011193312286458673,0.113,-1.158,0.0032920299999999996,0.008503351071388023,0.00023199,0.0058689
-3.066849561675065,-4.0685207484458115,-7.289736354366828,0.0008789979064518476,0.00038903194458207306,0.0008573347720312191,0.0011040018804326674,0.006,-1.002,0.00322936,0.00015602847032831932,0.00023169,0.0057365
-3.1281865529085664,-4.0685207484458115,-7.289736354366828,0.0006626952507926526,0.0002932994722613635,0.0007444121400455137,0.0009585898405590703,0.006,-1.057,0.002659,-0.08424209584538518,0.00022888,0.0045518
-3.066849561675065,-4.149891163414727,-7.289736354366828,0.0008789979064518476,0.00038903194458207306,0.0008573347720312191,0.0011040018804326674,-0.076,-1.246,0.00322936,0.00015602847032831932,0.00023169,0.0057365
-3.066849561675065,-4.0685207484458115,-7.435531081454164,0.0008789979064518476,0.00038903194458207306,0.0008573347720312191,0.0011040018804326674,0.006,-1.148,0.00322936,0.00015602847032831932,0.00023169,0.0057365
-3.06695849236448,-4.074447230917432,-7.269904501320113,0.0008785570726869142,0.00038883683784114606,0.0008571197604192908,0.0011037250069969601,-0.0,-1.0,0.00322822,2.690621006039666e-06,0.00023169,0.0057341
-3.1282976622117697,-4.074447230917432,-7.269904501320113,0.0006623562514453322,0.00029314943598217314,0.0007442217150270619,0.000958344627620892,-0.0,-1.055,0.0026580700000000002,-0.08439401931913618,0.00022888,0.0045499
-3.06695849236448,-4.15593617553578,-7.269904501320113,0.0008785570726869142,0.00038883683784114606,0.0008571197604192908,0.0011037250069969601,-0.082,-1.244,0.00322822,2.690621006039666e-06,0.00023169,0.0057341
-3.06695849236448,-4.074447230917432,-7.415302591346515,0.0008785570726869142,0.00038883683784114606,0.0008571197604192908,0.0011037250069969601,-0.0,-1.145,0.00322822,2.690621006039666e-06,0.00023169,0.0057341
