site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi01,50,113.417
Cecil,hourly,psi01,100,222.292
Cecil,hourly,psi01,200,384.667
Cecil,hourly,psi01,300,581.75
Cecil,hourly,psi02,50,46.708
Cecil,hourly,psi02,100,143.875
Cecil,hourly,psi02,200,280.708
Cecil,hourly,psi02,300,498.125
Cecil,daily,psi01,50,115.631
Cecil,daily,psi01,100,223.593
Cecil,daily,psi01,200,399.0
Cecil,daily,psi01,300,591.0
Cecil,daily,psi02,50,46.0
Cecil,daily,psi02,100,115.2
Cecil,daily,psi02,200,276.0
Cecil,daily,psi02,300,499.874
Cecil,monthly,psi01,50,137.0
Cecil,monthly,psi01,100,282.0
Cecil,monthly,psi01,200,470.0
Cecil,monthly,psi01,300,638.0
Cecil,monthly,psi02,50,63.0
Cecil,monthly,psi02,100,192.0
Cecil,monthly,psi02,200,314.0
Cecil,monthly,psi02,300,552.0
Flanagan,hourly,psi01,50,115.417
Flanagan,hourly,psi01,100,192.499
Flanagan,hourly,psi01,200,355.333
Flanagan,hourly,psi01,300,541.042
Flanagan,hourly,psi02,50,1.125
Flanagan,hourly,psi02,100,74.167
Flanagan,hourly,psi02,200,253.0
Flanagan,hourly,psi02,300,395.958
Flanagan,daily,psi01,50,113.0
Flanagan,daily,psi01,100,191.0
Flanagan,daily,psi01,200,357.603
Flanagan,daily,psi01,300,551.0
Flanagan,daily,psi02,50,1.0
Flanagan,daily,psi02,100,73.0
Flanagan,daily,psi02,200,250.0
Flanagan,daily,psi02,300,397.0
Flanagan,monthly,psi01,50,45.6341
Flanagan,monthly,psi01,100,176.0
Flanagan,monthly,psi01,200,365.0
Flanagan,monthly,psi01,300,529.0
Flanagan,monthly,psi02,50,1e-07
Flanagan,monthly,psi02,100,92.4302
Flanagan,monthly,psi02,200,246.0
Flanagan,monthly,psi02,300,422.0
HoustonBlack,hourly,psi01,50,100.708
HoustonBlack,hourly,psi01,100,203.208
HoustonBlack,hourly,psi01,200,432.042
HoustonBlack,hourly,psi01,300,907.167
HoustonBlack,hourly,psi02,50,31.0
HoustonBlack,hourly,psi02,100,129.042
HoustonBlack,hourly,psi02,200,312.958
HoustonBlack,hourly,psi02,300,597.875
HoustonBlack,daily,psi01,50,100.0
HoustonBlack,daily,psi01,100,203.0
HoustonBlack,daily,psi01,200,445.0
HoustonBlack,daily,psi01,300,928.0
HoustonBlack,daily,psi02,50,27.0
HoustonBlack,daily,psi02,100,126.0
HoustonBlack,daily,psi02,200,319.0
HoustonBlack,daily,psi02,300,607.0
HoustonBlack,monthly,psi01,50,127.0
HoustonBlack,monthly,psi01,100,227.0
HoustonBlack,monthly,psi01,200,518.0
HoustonBlack,monthly,psi01,300,1007.0
HoustonBlack,monthly,psi02,50,53.0
HoustonBlack,monthly,psi02,100,145.0
HoustonBlack,monthly,psi02,200,360.0
HoustonBlack,monthly,psi02,300,679.0
Kalamazoo,hourly,psi01,50,61.125
Kalamazoo,hourly,psi01,100,151.0
Kalamazoo,hourly,psi01,200,208.5
Kalamazoo,hourly,psi01,300,246.958
Kalamazoo,hourly,psi02,50,7.042
Kalamazoo,hourly,psi02,100,73.875
Kalamazoo,hourly,psi02,200,158.917
Kalamazoo,hourly,psi02,300,196.792
Kalamazoo,daily,psi01,50,47.0
Kalamazoo,daily,psi01,100,152.189
Kalamazoo,daily,psi01,200,213.0
Kalamazoo,daily,psi01,300,254.0
Kalamazoo,daily,psi02,50,7.0
Kalamazoo,daily,psi02,100,60.0
Kalamazoo,daily,psi02,200,159.0
Kalamazoo,daily,psi02,300,198.0
Kalamazoo,monthly,psi01,50,45.1112
Kalamazoo,monthly,psi01,100,152.0
Kalamazoo,monthly,psi01,200,245.0
Kalamazoo,monthly,psi01,300,279.0
Kalamazoo,monthly,psi02,50,5.82082
