site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi01,50,96.333
Cecil,hourly,psi01,100,189.0
Cecil,hourly,psi01,200,417.792
Cecil,hourly,psi01,300,616.0
Cecil,hourly,psi02,50,18.917
Cecil,hourly,psi02,100,138.958
Cecil,hourly,psi02,200,298.708
Cecil,hourly,psi02,300,502.917
Cecil,daily,psi01,50,96.0
Cecil,daily,psi01,100,194.5
Cecil,daily,psi01,200,428.0
Cecil,daily,psi01,300,632.0
Cecil,daily,psi02,50,18.0
Cecil,daily,psi02,100,136.242
Cecil,daily,psi02,200,285.0
Cecil,daily,psi02,300,510.27
Cecil,monthly,psi01,50,113.0
Cecil,monthly,psi01,100,214.0
Cecil,monthly,psi01,200,486.0
Cecil,monthly,psi01,300,711.0
Cecil,monthly,psi02,50,32.0
Cecil,monthly,psi02,100,156.0
Cecil,monthly,psi02,200,376.0
Cecil,monthly,psi02,300,597.0
Flanagan,hourly,psi01,50,100.542
Flanagan,hourly,psi01,100,202.479
Flanagan,hourly,psi01,200,421.5
Flanagan,hourly,psi01,300,551.75
Flanagan,hourly,psi02,50,23.833
Flanagan,hourly,psi02,100,148.614
Flanagan,hourly,psi02,200,331.0
Flanagan,hourly,psi02,300,498.083
Flanagan,daily,psi01,50,100.948
Flanagan,daily,psi01,100,203.336
Flanagan,daily,psi01,200,430.0
Flanagan,daily,psi01,300,558.0
Flanagan,daily,psi02,50,23.0
Flanagan,daily,psi02,100,87.0
Flanagan,daily,psi02,200,330.0
Flanagan,daily,psi02,300,502.0
Flanagan,monthly,psi01,50,100.0
Flanagan,monthly,psi01,100,232.0
Flanagan,monthly,psi01,200,459.0
Flanagan,monthly,psi01,300,584.0
Flanagan,monthly,psi02,50,26.1874
Flanagan,monthly,psi02,100,133.0
Flanagan,monthly,psi02,200,368.0
Flanagan,monthly,psi02,300,532.0
HoustonBlack,hourly,psi01,50,109.125
HoustonBlack,hourly,psi01,100,155.125
HoustonBlack,hourly,psi01,200,430.0
HoustonBlack,hourly,psi01,300,835.625
HoustonBlack,hourly,psi02,50,4.917
HoustonBlack,hourly,psi02,100,112.0
HoustonBlack,hourly,psi02,200,210.833
HoustonBlack,hourly,psi02,300,565.375
HoustonBlack,daily,psi01,50,109.0
HoustonBlack,daily,psi01,100,155.889
HoustonBlack,daily,psi01,200,449.0
HoustonBlack,daily,psi01,300,851.779
HoustonBlack,daily,psi02,50,3.01098
HoustonBlack,daily,psi02,100,109.417
HoustonBlack,daily,psi02,200,212.0
HoustonBlack,daily,psi02,300,572.0
HoustonBlack,monthly,psi01,50,119.0
HoustonBlack,monthly,psi01,100,159.0
HoustonBlack,monthly,psi01,200,470.0
HoustonBlack,monthly,psi01,300,905.0
HoustonBlack,monthly,psi02,50,14.4105
HoustonBlack,monthly,psi02,100,130.0
HoustonBlack,monthly,psi02,200,238.0
HoustonBlack,monthly,psi02,300,617.0
Kalamazoo,hourly,psi01,50,78.208
Kalamazoo,hourly,psi01,100,134.875
Kalamazoo,hourly,psi01,200,201.042
Kalamazoo,hourly,psi01,300,225.333
Kalamazoo,hourly,psi02,50,0.917
Kalamazoo,hourly,psi02,100,93.917
Kalamazoo,hourly,psi02,200,164.917
Kalamazoo,hourly,psi02,300,200.125
Kalamazoo,daily,psi01,50,77.0
Kalamazoo,daily,psi01,100,135.598
Kalamazoo,daily,psi01,200,206.25
Kalamazoo,daily,psi01,300,227.0
Kalamazoo,daily,psi02,50,1.0
Kalamazoo,daily,psi02,100,81.0
Kalamazoo,daily,psi02,200,157.0
Kalamazoo,daily,psi02,300,200.0
Kalamazoo,monthly,psi01,50,56.8575
Kalamazoo,monthly,psi01,100,143.0
Kalamazoo,monthly,psi01,200,225.0
Kalamazoo,monthly,psi01,300,251.0
Kalamazoo,monthly,psi02,50,5.87439
Kalamazoo,monthly,psi02,100,60.9725
Kalamazoo,monthly,psi02,200,159.0
Kalamazoo,monthly,psi02,300,212.0
Kuma,hourly,psi01,50,143.417
Kuma,hourly,psi01,100,194.083
Kuma,hourly,psi01,200,516.167
Kuma,hourly,psi01,300,622.0
Kuma,hourly,psi02,50,82.833
Kuma,hourly,psi02,100,170.458
Kuma,hourly,psi02,200,278.917
Kuma,hourly,psi02,300,576.292
Kuma,daily,psi01,50,139.0
Kuma,daily,psi01,100,196.0
Kuma,daily,psi01,200,524.0
Kuma,daily,psi01,300,646.0
Kuma,daily,psi02,50,81.3747
Kuma,daily,psi02,100,170.0
Kuma,daily,psi02,200,282.0
Kuma,daily,psi02,300,583.0
Kuma,monthly,psi01,50,159.0
Kuma,monthly,psi01,100,219.0
Kuma,monthly,psi01,200,553.0
Kuma,monthly,psi01,300,861.0
