site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi02,50,14.958
Cecil,hourly,psi02,100,150.875
Cecil,hourly,psi02,200,330.667
Cecil,hourly,psi02,300,457.292
Cecil,hourly,psi01,50,36.583
Cecil,hourly,psi01,100,235.0
Cecil,hourly,psi01,200,402.458
Cecil,hourly,psi01,300,501.458
Cecil,daily,psi02,50,13.0
Cecil,daily,psi02,100,118.554
Cecil,daily,psi02,200,319.0
Cecil,daily,psi02,300,460.0
Cecil,daily,psi01,50,41.0
Cecil,daily,psi01,100,244.0
Cecil,daily,psi01,200,414.0
Cecil,daily,psi01,300,516.0
Cecil,monthly,psi02,50,70.6745
Cecil,monthly,psi02,100,217.0
Cecil,monthly,psi02,200,382.0
Cecil,monthly,psi02,300,519.0
Cecil,monthly,psi01,50,87.6745
Cecil,monthly,psi01,100,279.0
Cecil,monthly,psi01,200,452.0
Cecil,monthly,psi01,300,570.0
Flanagan,hourly,psi02,50,17.542
Flanagan,hourly,psi02,100,78.292
Flanagan,hourly,psi02,200,282.417
Flanagan,hourly,psi02,300,391.0
Flanagan,hourly,psi01,50,66.833
Flanagan,hourly,psi01,100,147.042
Flanagan,hourly,psi01,200,307.458
Flanagan,hourly,psi01,300,449.25
Flanagan,daily,psi02,50,9.0
Flanagan,daily,psi02,100,73.2684
Flanagan,daily,psi02,200,277.56
Flanagan,daily,psi02,300,393.0
Flanagan,daily,psi01,50,67.0
Flanagan,daily,psi01,100,162.0
Flanagan,daily,psi01,200,313.0
Flanagan,daily,psi01,300,464.0
Flanagan,monthly,psi02,50,62.0
Flanagan,monthly,psi02,100,125.0
Flanagan,monthly,psi02,200,321.0
Flanagan,monthly,psi02,300,459.0
Flanagan,monthly,psi01,50,97.35
Flanagan,monthly,psi01,100,193.0
Flanagan,monthly,psi01,200,356.0
Flanagan,monthly,psi01,300,551.0
HoustonBlack,hourly,psi02,50,17.375
HoustonBlack,hourly,psi02,100,57.958
HoustonBlack,hourly,psi02,200,337.083
HoustonBlack,hourly,psi02,300,472.417
HoustonBlack,hourly,psi01,50,32.708
HoustonBlack,hourly,psi01,100,135.333
HoustonBlack,hourly,psi01,200,391.208
HoustonBlack,hourly,psi01,300,595.167
HoustonBlack,daily,psi02,50,17.0
HoustonBlack,daily,psi02,100,40.0
HoustonBlack,daily,psi02,200,335.0
HoustonBlack,daily,psi02,300,477.0
HoustonBlack,daily,psi01,50,33.0
HoustonBlack,daily,psi01,100,139.0
HoustonBlack,daily,psi01,200,402.0
HoustonBlack,daily,psi01,300,616.0
HoustonBlack,monthly,psi02,50,45.5513
HoustonBlack,monthly,psi02,100,126.0
HoustonBlack,monthly,psi02,200,392.0
HoustonBlack,monthly,psi02,300,592.0
HoustonBlack,monthly,psi01,50,66.8394
HoustonBlack,monthly,psi01,100,181.0
HoustonBlack,monthly,psi01,200,463.0
HoustonBlack,monthly,psi01,300,739.0
Kalamazoo,hourly,psi02,50,9.417
Kalamazoo,hourly,psi02,100,43.958
Kalamazoo,hourly,psi02,200,89.208
Kalamazoo,hourly,psi02,300,129.25
Kalamazoo,hourly,psi01,50,23.875
Kalamazoo,hourly,psi01,100,75.958
Kalamazoo,hourly,psi01,200,137.708
Kalamazoo,hourly,psi01,300,199.083
Kalamazoo,daily,psi02,50,9.65654
Kalamazoo,daily,psi02,100,41.0
Kalamazoo,daily,psi02,200,87.0
Kalamazoo,daily,psi02,300,124.0
Kalamazoo,daily,psi01,50,23.5266
Kalamazoo,daily,psi01,100,76.0
Kalamazoo,daily,psi01,200,143.0
Kalamazoo,daily,psi01,300,203.0
Kalamazoo,monthly,psi02,50,45.0459
Kalamazoo,monthly,psi02,100,91.0
Kalamazoo,monthly,psi02,200,133.0
Kalamazoo,monthly,psi02,300,192.0
Kalamazoo,monthly,psi01,50,58.0459
Kalamazoo,monthly,psi01,100,108.0
Kalamazoo,monthly,psi01,200,176.0
Kalamazoo,monthly,psi01,300,239.0
Kuma,hourly,psi02,50,6.35957
Kuma,hourly,psi02,100,50.292
Kuma,hourly,psi02,200,373.458
Kuma,hourly,psi02,300,706.75
Kuma,hourly,psi01,50,37.3619
Kuma,hourly,psi01,100,312.917
Kuma,hourly,psi01,200,423.875
Kuma,hourly,psi01,300,750.375
Kuma,daily,psi02,50,6.0
Kuma,daily,psi02,100,37.0
Kuma,daily,psi02,200,374.0
Kuma,daily,psi02,300,713.0
Kuma,daily,psi01,50,33.0
Kuma,daily,psi01,100,322.0
Kuma,daily,psi01,200,467.0
Kuma,daily,psi01,300,763.0
Kuma,monthly,psi02,50,45.908
Kuma,monthly,psi02,100,124.0
Kuma,monthly,psi02,200,426.0
Kuma,monthly,psi02,300,776.0
Kuma,monthly,psi01,50,67.4313
Kuma,monthly,psi01,100,345.0
Kuma,monthly,psi01,200,649.0
Kuma,monthly,psi01,300,818.0
Palouse,hourly,psi02,50,10.441
Palouse,hourly,psi02,100,52.0
Palouse,hourly,psi02,200,208.458
Palouse,hourly,psi02,300,383.917
Palouse,hourly,psi01,50,44.4291
Palouse,hourly,psi01,100,125.542
Palouse,hourly,psi01,200,315.75
Palouse,hourly,psi01,300,525.208
Palouse,daily,psi02,50,10.0
Palouse,daily,psi02,100,44.0
Palouse,daily,psi02,200,201.0
Palouse,daily,psi02,300,387.0
Palouse,daily,psi01,50,45.0
Palouse,daily,psi01,100,129.0
Palouse,daily,psi01,200,321.0
Palouse,daily,psi01,300,534.0
Palouse,monthly,psi02,50,37.2688
Palouse,monthly,psi02,100,93.0
Palouse,monthly,psi02,200,237.0
Palouse,monthly,psi02,300,419.0
Palouse,monthly,psi01,50,65.0
Palouse,monthly,psi01,100,150.0
Palouse,monthly,psi01,200,342.0
Palouse,monthly,psi01,300,559.0
Pullman,hourly,psi02,50,22.375
Pullman,hourly,psi02,100,187.0
Pullman,hourly,psi02,200,398.375
Pullman,hourly,psi02,300,742.0
Pullman,hourly,psi01,50,44.4811
Pullman,hourly,psi01,100,328.25
Pullman,hourly,psi01,200,466.792
Pullman,hourly,psi01,300,811.917
Pullman,daily,psi02,50,22.0
Pullman,daily,psi02,100,120.0
Pullman,daily,psi02,200,399.0
Pullman,daily,psi02,300,754.0
Pullman,daily,psi01,50,45.0
Pullman,daily,psi01,100,331.14
Pullman,daily,psi01,200,502.0
Pullman,daily,psi01,300,994.925
Pullman,monthly,psi02,50,51.0
Pullman,monthly,psi02,100,311.0
Pullman,monthly,psi02,200,491.0
