site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi02,50,43.4448
Cecil,hourly,psi02,100,81.833
Cecil,hourly,psi02,200,303.583
Cecil,hourly,psi02,300,497.458
Cecil,hourly,psi01,50,66.667
Cecil,hourly,psi01,100,140.042
Cecil,hourly,psi01,200,371.292
Cecil,hourly,psi01,300,554.542
Cecil,daily,psi02,50,43.0
Cecil,daily,psi02,100,72.5555
Cecil,daily,psi02,200,291.908
Cecil,daily,psi02,300,502.0
Cecil,daily,psi01,50,66.5
Cecil,daily,psi01,100,146.0
Cecil,daily,psi01,200,393.0
Cecil,daily,psi01,300,569.0
Cecil,monthly,psi02,50,36.0
Cecil,monthly,psi02,100,112.0
Cecil,monthly,psi02,200,327.0
Cecil,monthly,psi02,300,538.0
Cecil,monthly,psi01,50,76.0
Cecil,monthly,psi01,100,159.0
Cecil,monthly,psi01,200,427.0
Cecil,monthly,psi01,300,630.0
Flanagan,hourly,psi02,50,11.3571
Flanagan,hourly,psi02,100,55.042
Flanagan,hourly,psi02,200,289.625
Flanagan,hourly,psi02,300,448.542
Flanagan,hourly,psi01,50,43.542
Flanagan,hourly,psi01,100,157.5
Flanagan,hourly,psi01,200,366.875
Flanagan,hourly,psi01,300,526.25
Flanagan,daily,psi02,50,11.0
Flanagan,daily,psi02,100,45.0
Flanagan,daily,psi02,200,277.0
Flanagan,daily,psi02,300,449.0
Flanagan,daily,psi01,50,45.0
Flanagan,daily,psi01,100,172.431
Flanagan,daily,psi01,200,374.0
Flanagan,daily,psi01,300,535.0
Flanagan,monthly,psi02,50,20.0157
Flanagan,monthly,psi02,100,60.0
Flanagan,monthly,psi02,200,303.0
Flanagan,monthly,psi02,300,482.0
Flanagan,monthly,psi01,50,44.0
Flanagan,monthly,psi01,100,167.0
Flanagan,monthly,psi01,200,397.0
Flanagan,monthly,psi01,300,551.0
HoustonBlack,hourly,psi02,50,29.375
HoustonBlack,hourly,psi02,100,321.042
HoustonBlack,hourly,psi02,200,614.083
HoustonBlack,hourly,psi02,300,719.208
HoustonBlack,hourly,psi01,50,243.917
HoustonBlack,hourly,psi01,100,368.292
HoustonBlack,hourly,psi01,200,664.292
HoustonBlack,hourly,psi01,300,793.708
HoustonBlack,daily,psi02,50,15.0
HoustonBlack,daily,psi02,100,319.0
HoustonBlack,daily,psi02,200,617.0
HoustonBlack,daily,psi02,300,729.0
HoustonBlack,daily,psi01,50,273.0
HoustonBlack,daily,psi01,100,371.14
HoustonBlack,daily,psi01,200,667.0
HoustonBlack,daily,psi01,300,856.0
HoustonBlack,monthly,psi02,50,18.155
HoustonBlack,monthly,psi02,100,336.0
HoustonBlack,monthly,psi02,200,656.0
HoustonBlack,monthly,psi02,300,795.0
HoustonBlack,monthly,psi01,50,277.0
HoustonBlack,monthly,psi01,100,394.0
HoustonBlack,monthly,psi01,200,681.0
HoustonBlack,monthly,psi01,300,989.0
Kalamazoo,hourly,psi02,50,7.41643
Kalamazoo,hourly,psi02,100,42.0
Kalamazoo,hourly,psi02,200,105.0
Kalamazoo,hourly,psi02,300,153.125
Kalamazoo,hourly,psi01,50,18.6875
Kalamazoo,hourly,psi01,100,59.208
Kalamazoo,hourly,psi01,200,156.292
Kalamazoo,hourly,psi01,300,186.417
Kalamazoo,daily,psi02,50,7.0
Kalamazoo,daily,psi02,100,20.3338
Kalamazoo,daily,psi02,200,83.0
Kalamazoo,daily,psi02,300,147.0
Kalamazoo,daily,psi01,50,41.0
Kalamazoo,daily,psi01,100,63.0
Kalamazoo,daily,psi01,200,161.0
Kalamazoo,daily,psi01,300,191.0
Kalamazoo,monthly,psi02,50,8.21816
Kalamazoo,monthly,psi02,100,42.0
Kalamazoo,monthly,psi02,200,114.0
Kalamazoo,monthly,psi02,300,158.0
Kalamazoo,monthly,psi01,50,29.2182
Kalamazoo,monthly,psi01,100,64.0
Kalamazoo,monthly,psi01,200,162.0
Kalamazoo,monthly,psi01,300,192.0
Kuma,hourly,psi02,50,1.313
Kuma,hourly,psi02,100,64.958
Kuma,hourly,psi02,200,366.125
Kuma,hourly,psi02,300,687.417
Kuma,hourly,psi01,50,37.292
Kuma,hourly,psi01,100,289.042
Kuma,hourly,psi01,200,414.958
Kuma,hourly,psi01,300,736.25
Kuma,daily,psi02,50,1.19719
Kuma,daily,psi02,100,37.0
Kuma,daily,psi02,200,366.441
Kuma,daily,psi02,300,696.0
Kuma,daily,psi01,50,37.0
Kuma,daily,psi01,100,296.0
Kuma,daily,psi01,200,430.0
Kuma,daily,psi01,300,747.0
Kuma,monthly,psi02,50,8.4328
Kuma,monthly,psi02,100,70.0
Kuma,monthly,psi02,200,375.0
Kuma,monthly,psi02,300,722.0
Kuma,monthly,psi01,50,32.0
Kuma,monthly,psi01,100,292.0
Kuma,monthly,psi01,200,507.0
Kuma,monthly,psi01,300,775.0
Palouse,hourly,psi02,50,1.292
Palouse,hourly,psi02,100,38.042
Palouse,hourly,psi02,200,188.792
Palouse,hourly,psi02,300,392.208
Palouse,hourly,psi01,50,28.4547
Palouse,hourly,psi01,100,146.125
Palouse,hourly,psi01,200,332.208
Palouse,hourly,psi01,300,468.958
Palouse,daily,psi02,50,1.0
Palouse,daily,psi02,100,29.5205
Palouse,daily,psi02,200,188.0
Palouse,daily,psi02,300,397.0
Palouse,daily,psi01,50,27.0
Palouse,daily,psi01,100,148.0
Palouse,daily,psi01,200,336.0
