site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi02,50,7.38661
Cecil,hourly,psi02,100,73.917
Cecil,hourly,psi02,200,266.75
Cecil,hourly,psi02,300,464.542
Cecil,hourly,psi01,50,31.1353
Cecil,hourly,psi01,100,128.292
Cecil,hourly,psi01,200,373.917
Cecil,hourly,psi01,300,547.0
Cecil,daily,psi02,50,7.0
Cecil,daily,psi02,100,29.0
Cecil,daily,psi02,200,253.457
Cecil,daily,psi02,300,470.0
Cecil,daily,psi01,50,32.5113
Cecil,daily,psi01,100,139.0
Cecil,daily,psi01,200,383.0
Cecil,daily,psi01,300,568.0
Cecil,monthly,psi02,50,21.1408
Cecil,monthly,psi02,100,76.0
Cecil,monthly,psi02,200,280.0
Cecil,monthly,psi02,300,503.0
Cecil,monthly,psi01,50,53.0
Cecil,monthly,psi01,100,141.0
Cecil,monthly,psi01,200,412.0
Cecil,monthly,psi01,300,614.0
Flanagan,hourly,psi02,50,7.625
Flanagan,hourly,psi02,100,110.0
Flanagan,hourly,psi02,200,303.0
Flanagan,hourly,psi02,300,464.833
Flanagan,hourly,psi01,50,69.042
Flanagan,hourly,psi01,100,212.292
Flanagan,hourly,psi01,200,390.417
Flanagan,hourly,psi01,300,548.333
Flanagan,daily,psi02,50,7.63468
Flanagan,daily,psi02,100,82.0
Flanagan,daily,psi02,200,303.0
Flanagan,daily,psi02,300,469.0
Flanagan,daily,psi01,50,68.0
Flanagan,daily,psi01,100,220.0
Flanagan,daily,psi01,200,395.0
Flanagan,daily,psi01,300,555.782
Flanagan,monthly,psi02,50,7.45682
Flanagan,monthly,psi02,100,85.0
Flanagan,monthly,psi02,200,319.0
Flanagan,monthly,psi02,300,483.0
Flanagan,monthly,psi01,50,42.0
Flanagan,monthly,psi01,100,214.0
Flanagan,monthly,psi01,200,408.0
Flanagan,monthly,psi01,300,572.0
HoustonBlack,hourly,psi02,50,199.958
HoustonBlack,hourly,psi02,100,313.875
HoustonBlack,hourly,psi02,200,607.458
HoustonBlack,hourly,psi02,300,712.0
HoustonBlack,hourly,psi01,50,283.333
HoustonBlack,hourly,psi01,100,354.083
HoustonBlack,hourly,psi01,200,639.833
HoustonBlack,hourly,psi01,300,864.167
HoustonBlack,daily,psi02,50,200.0
HoustonBlack,daily,psi02,100,313.0
HoustonBlack,daily,psi02,200,608.322
HoustonBlack,daily,psi02,300,722.0
HoustonBlack,daily,psi01,50,283.0
HoustonBlack,daily,psi01,100,356.441
HoustonBlack,daily,psi01,200,649.0
HoustonBlack,daily,psi01,300,911.0
HoustonBlack,monthly,psi02,50,213.646
HoustonBlack,monthly,psi02,100,338.0
HoustonBlack,monthly,psi02,200,632.0
HoustonBlack,monthly,psi02,300,805.0
HoustonBlack,monthly,psi01,50,284.455
HoustonBlack,monthly,psi01,100,439.0
HoustonBlack,monthly,psi01,200,662.0
HoustonBlack,monthly,psi01,300,1000.0
Kalamazoo,hourly,psi02,50,5.375
Kalamazoo,hourly,psi02,100,16.917
Kalamazoo,hourly,psi02,200,100.917
Kalamazoo,hourly,psi02,300,140.792
Kalamazoo,hourly,psi01,50,10.333
Kalamazoo,hourly,psi01,100,86.958
Kalamazoo,hourly,psi01,200,146.542
Kalamazoo,hourly,psi01,300,197.792
Kalamazoo,daily,psi02,50,5.0
Kalamazoo,daily,psi02,100,9.59588
Kalamazoo,daily,psi02,200,97.0
Kalamazoo,daily,psi02,300,139.0
Kalamazoo,daily,psi01,50,16.4869
Kalamazoo,daily,psi01,100,94.0
Kalamazoo,daily,psi01,200,151.0
Kalamazoo,daily,psi01,300,205.0
Kalamazoo,monthly,psi02,50,3.24598
Kalamazoo,monthly,psi02,100,18.0922
Kalamazoo,monthly,psi02,200,93.0
Kalamazoo,monthly,psi02,300,136.0
Kalamazoo,monthly,psi01,50,17.0922
Kalamazoo,monthly,psi01,100,81.0
Kalamazoo,monthly,psi01,200,146.0
Kalamazoo,monthly,psi01,300,185.0
Kuma,hourly,psi02,50,1.292
Kuma,hourly,psi02,100,221.625
Kuma,hourly,psi02,200,358.625
Kuma,hourly,psi02,300,686.042
Kuma,hourly,psi01,50,53.083
Kuma,hourly,psi01,100,309.083
Kuma,hourly,psi01,200,603.375
Kuma,hourly,psi01,300,735.833
Kuma,daily,psi02,50,1.12196
Kuma,daily,psi02,100,182.0
Kuma,daily,psi02,200,360.0
Kuma,daily,psi02,300,691.0
Kuma,daily,psi01,50,160.0
Kuma,daily,psi01,100,309.0
Kuma,daily,psi01,200,615.792
Kuma,daily,psi01,300,754.0
Kuma,monthly,psi02,50,14.1846
Kuma,monthly,psi02,100,214.0
Kuma,monthly,psi02,200,380.0
Kuma,monthly,psi02,300,715.0
Kuma,monthly,psi01,50,54.0
Kuma,monthly,psi01,100,307.0
