site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi02,50,1.333
Cecil,hourly,psi02,100,81.1382
Cecil,hourly,psi02,200,285.125
Cecil,hourly,psi02,300,450.167
Cecil,hourly,psi01,50,81.1668
Cecil,hourly,psi01,100,200.625
Cecil,hourly,psi01,200,371.708
Cecil,hourly,psi01,300,523.167
Cecil,daily,psi02,50,1.0
Cecil,daily,psi02,100,80.0
Cecil,daily,psi02,200,283.0
Cecil,daily,psi02,300,453.0
Cecil,daily,psi01,50,80.0
Cecil,daily,psi01,100,203.441
Cecil,daily,psi01,200,384.0
Cecil,daily,psi01,300,543.0
Cecil,monthly,psi02,50,15.1628
Cecil,monthly,psi02,100,96.0
Cecil,monthly,psi02,200,317.0
Cecil,monthly,psi02,300,478.0
Cecil,monthly,psi01,50,96.0
Cecil,monthly,psi01,100,234.0
Cecil,monthly,psi01,200,434.0
Cecil,monthly,psi01,300,595.0
Flanagan,hourly,psi02,50,13.958
Flanagan,hourly,psi02,100,62.792
Flanagan,hourly,psi02,200,189.583
Flanagan,hourly,psi02,300,301.625
Flanagan,hourly,psi01,50,84.125
Flanagan,hourly,psi01,100,143.792
Flanagan,hourly,psi01,200,243.833
Flanagan,hourly,psi01,300,454.042
Flanagan,daily,psi02,50,13.0
Flanagan,daily,psi02,100,62.0
Flanagan,daily,psi02,200,191.0
Flanagan,daily,psi02,300,321.0
Flanagan,daily,psi01,50,84.0
Flanagan,daily,psi01,100,145.0
Flanagan,daily,psi01,200,246.0
Flanagan,daily,psi01,300,460.351
Flanagan,monthly,psi02,50,31.0
Flanagan,monthly,psi02,100,33.0
Flanagan,monthly,psi02,200,217.0
Flanagan,monthly,psi02,300,393.0
Flanagan,monthly,psi01,50,93.0
Flanagan,monthly,psi01,100,180.0
Flanagan,monthly,psi01,200,285.0
Flanagan,monthly,psi01,300,491.0
HoustonBlack,hourly,psi02,50,31.917
HoustonBlack,hourly,psi02,100,149.875
HoustonBlack,hourly,psi02,200,500.667
HoustonBlack,hourly,psi02,300,673.125
HoustonBlack,hourly,psi01,50,111.792
HoustonBlack,hourly,psi01,100,197.0
HoustonBlack,hourly,psi01,200,580.75
HoustonBlack,hourly,psi01,300,809.167
HoustonBlack,daily,psi02,50,31.4592
HoustonBlack,daily,psi02,100,141.0
HoustonBlack,daily,psi02,200,509.0
HoustonBlack,daily,psi02,300,689.0
HoustonBlack,daily,psi01,50,111.379
HoustonBlack,daily,psi01,100,203.0
HoustonBlack,daily,psi01,200,593.0
HoustonBlack,daily,psi01,300,850.0
HoustonBlack,monthly,psi02,50,27.4725
HoustonBlack,monthly,psi02,100,161.0
HoustonBlack,monthly,psi02,200,551.0
HoustonBlack,monthly,psi02,300,787.0
HoustonBlack,monthly,psi01,50,126.0
HoustonBlack,monthly,psi01,100,240.0
HoustonBlack,monthly,psi01,200,644.0
HoustonBlack,monthly,psi01,300,943.0
Kalamazoo,hourly,psi02,50,12.958
Kalamazoo,hourly,psi02,100,33.5
Kalamazoo,hourly,psi02,200,108.917
Kalamazoo,hourly,psi02,300,157.5
Kalamazoo,hourly,psi01,50,29.083
Kalamazoo,hourly,psi01,100,97.25
Kalamazoo,hourly,psi01,200,189.292
Kalamazoo,hourly,psi01,300,228.542
Kalamazoo,daily,psi02,50,7.0
Kalamazoo,daily,psi02,100,14.0
Kalamazoo,daily,psi02,200,109.0
Kalamazoo,daily,psi02,300,162.0
Kalamazoo,daily,psi01,50,30.0
Kalamazoo,daily,psi01,100,99.0
Kalamazoo,daily,psi01,200,192.724
Kalamazoo,daily,psi01,300,235.0
Kalamazoo,monthly,psi02,50,4.80897
Kalamazoo,monthly,psi02,100,40.1847
Kalamazoo,monthly,psi02,200,115.0
Kalamazoo,monthly,psi02,300,161.0
Kalamazoo,monthly,psi01,50,40.1847
Kalamazoo,monthly,psi01,100,104.0
Kalamazoo,monthly,psi01,200,216.0
Kalamazoo,monthly,psi01,300,258.0
Kuma,hourly,psi02,50,83.292
Kuma,hourly,psi02,100,164.485
Kuma,hourly,psi02,200,253.958
Kuma,hourly,psi02,300,579.833
Kuma,hourly,psi01,50,139.917
Kuma,hourly,psi01,100,191.042
Kuma,hourly,psi01,200,512.667
Kuma,hourly,psi01,300,661.958
Kuma,daily,psi02,50,83.4252
Kuma,daily,psi02,100,164.0
Kuma,daily,psi02,200,255.0
Kuma,daily,psi02,300,586.0
Kuma,daily,psi01,50,139.0
