site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi01,50,103.042
Cecil,hourly,psi01,100,197.958
Cecil,hourly,psi01,200,330.833
Cecil,hourly,psi01,300,469.042
Cecil,hourly,psi02,50,36.792
Cecil,hourly,psi02,100,147.875
Cecil,hourly,psi02,200,281.583
Cecil,hourly,psi02,300,374.042
Cecil,daily,psi01,50,100.0
Cecil,daily,psi01,100,206.0
Cecil,daily,psi01,200,338.0
Cecil,daily,psi01,300,474.0
Cecil,daily,psi02,50,36.0
Cecil,daily,psi02,100,145.0
Cecil,daily,psi02,200,281.0
Cecil,daily,psi02,300,380.567
Cecil,monthly,psi01,50,143.0
Cecil,monthly,psi01,100,238.0
Cecil,monthly,psi01,200,383.0
Cecil,monthly,psi01,300,516.0
Cecil,monthly,psi02,50,64.0
Cecil,monthly,psi02,100,184.0
Cecil,monthly,psi02,200,326.0
Cecil,monthly,psi02,300,442.0
Flanagan,hourly,psi01,50,90.125
Flanagan,hourly,psi01,100,163.958
Flanagan,hourly,psi01,200,299.5
Flanagan,hourly,psi01,300,591.333
Flanagan,hourly,psi02,50,14.708
Flanagan,hourly,psi02,100,64.0
Flanagan,hourly,psi02,200,213.208
Flanagan,hourly,psi02,300,371.958
Flanagan,daily,psi01,50,90.0
Flanagan,daily,psi01,100,165.0
Flanagan,daily,psi01,200,302.0
Flanagan,daily,psi01,300,594.0
Flanagan,daily,psi02,50,14.0
Flanagan,daily,psi02,100,63.0
Flanagan,daily,psi02,200,216.0
Flanagan,daily,psi02,300,385.0
Flanagan,monthly,psi01,50,15.4714
Flanagan,monthly,psi01,100,63.418
Flanagan,monthly,psi01,200,226.0
Flanagan,monthly,psi01,300,409.0
Flanagan,monthly,psi02,50,1e-07
Flanagan,monthly,psi02,100,1e-07
Flanagan,monthly,psi02,200,158.0
Flanagan,monthly,psi02,300,301.0
HoustonBlack,hourly,psi01,50,71.042
HoustonBlack,hourly,psi01,100,216.542
HoustonBlack,hourly,psi01,200,360.417
HoustonBlack,hourly,psi01,300,667.958
HoustonBlack,hourly,psi02,50,4.958
HoustonBlack,hourly,psi02,100,132.792
HoustonBlack,hourly,psi02,200,296.375
HoustonBlack,hourly,psi02,300,566.167
HoustonBlack,daily,psi01,50,72.0
HoustonBlack,daily,psi01,100,217.0
HoustonBlack,daily,psi01,200,375.0
HoustonBlack,daily,psi01,300,686.0
HoustonBlack,daily,psi02,50,4.95898
HoustonBlack,daily,psi02,100,115.596
HoustonBlack,daily,psi02,200,298.0
HoustonBlack,daily,psi02,300,577.0
HoustonBlack,monthly,psi01,50,25.1966
HoustonBlack,monthly,psi01,100,171.0
HoustonBlack,monthly,psi01,200,367.0
HoustonBlack,monthly,psi01,300,676.0
HoustonBlack,monthly,psi02,50,4.19658
HoustonBlack,monthly,psi02,100,25.1966
HoustonBlack,monthly,psi02,200,288.0
HoustonBlack,monthly,psi02,300,498.0
Kalamazoo,hourly,psi01,50,47.917
Kalamazoo,hourly,psi01,100,110.667
Kalamazoo,hourly,psi01,200,178.5
Kalamazoo,hourly,psi01,300,228.417
Kalamazoo,hourly,psi02,50,1.375
Kalamazoo,hourly,psi02,100,64.875
Kalamazoo,hourly,psi02,200,134.833
Kalamazoo,hourly,psi02,300,173.292
Kalamazoo,daily,psi01,50,48.0
Kalamazoo,daily,psi01,100,113.0
Kalamazoo,daily,psi01,200,179.417
Kalamazoo,daily,psi01,300,229.0
Kalamazoo,daily,psi02,50,1.25836
Kalamazoo,daily,psi02,100,48.0
Kalamazoo,daily,psi02,200,129.699
Kalamazoo,daily,psi02,300,173.0
Kalamazoo,monthly,psi01,50,13.4989
Kalamazoo,monthly,psi01,100,34.9375
