site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi02,50,41.292
Cecil,hourly,psi02,100,158.583
Cecil,hourly,psi02,200,321.0
Cecil,hourly,psi02,300,581.5
Cecil,hourly,psi01,50,140.099
Cecil,hourly,psi01,100,245.875
Cecil,hourly,psi01,200,420.125
Cecil,hourly,psi01,300,672.458
Cecil,daily,psi02,50,41.0
Cecil,daily,psi02,100,158.0
Cecil,daily,psi02,200,320.0
Cecil,daily,psi02,300,587.0
Cecil,daily,psi01,50,140.0
Cecil,daily,psi01,100,247.0
Cecil,daily,psi01,200,446.0
Cecil,daily,psi01,300,687.0
Cecil,monthly,psi02,50,60.0
Cecil,monthly,psi02,100,177.0
Cecil,monthly,psi02,200,365.0
Cecil,monthly,psi02,300,662.0
Cecil,monthly,psi01,50,162.0
Cecil,monthly,psi01,100,279.0
Cecil,monthly,psi01,200,519.0
Cecil,monthly,psi01,300,795.0
Flanagan,hourly,psi02,50,32.25
Flanagan,hourly,psi02,100,103.75
Flanagan,hourly,psi02,200,237.958
Flanagan,hourly,psi02,300,414.708
Flanagan,hourly,psi01,50,64.958
Flanagan,hourly,psi01,100,186.917
Flanagan,hourly,psi01,200,331.542
Flanagan,hourly,psi01,300,551.333
Flanagan,daily,psi02,50,32.0
Flanagan,daily,psi02,100,33.0
Flanagan,daily,psi02,200,236.0
Flanagan,daily,psi02,300,418.0
Flanagan,daily,psi01,50,65.0
Flanagan,daily,psi01,100,187.0
Flanagan,daily,psi01,200,343.0
Flanagan,daily,psi01,300,575.0
Flanagan,monthly,psi02,50,31.0
Flanagan,monthly,psi02,100,123.0
Flanagan,monthly,psi02,200,257.0
Flanagan,monthly,psi02,300,451.0
Flanagan,monthly,psi01,50,78.0
Flanagan,monthly,psi01,100,202.0
Flanagan,monthly,psi01,200,374.0
Flanagan,monthly,psi01,300,618.0
HoustonBlack,hourly,psi02,50,81.083
HoustonBlack,hourly,psi02,100,262.417
HoustonBlack,hourly,psi02,200,467.167
HoustonBlack,hourly,psi02,300,656.375
HoustonBlack,hourly,psi01,50,231.48
HoustonBlack,hourly,psi01,100,300.0
HoustonBlack,hourly,psi01,200,532.583
HoustonBlack,hourly,psi01,300,720.583
HoustonBlack,daily,psi02,50,80.0
HoustonBlack,daily,psi02,100,262.0
HoustonBlack,daily,psi02,200,470.0
HoustonBlack,daily,psi02,300,667.0
HoustonBlack,daily,psi01,50,231.0
HoustonBlack,daily,psi01,100,310.0
HoustonBlack,daily,psi01,200,552.925
HoustonBlack,daily,psi01,300,735.0
HoustonBlack,monthly,psi02,50,110.0
HoustonBlack,monthly,psi02,100,297.0
HoustonBlack,monthly,psi02,200,524.0
HoustonBlack,monthly,psi02,300,735.0
HoustonBlack,monthly,psi01,50,263.0
HoustonBlack,monthly,psi01,100,353.0
HoustonBlack,monthly,psi01,200,608.0
HoustonBlack,monthly,psi01,300,879.0
Kalamazoo,hourly,psi02,50,4.25
Kalamazoo,hourly,psi02,100,74.833
Kalamazoo,hourly,psi02,200,165.75
Kalamazoo,hourly,psi02,300,198.958
Kalamazoo,hourly,psi01,50,53.208
Kalamazoo,hourly,psi01,100,143.125
Kalamazoo,hourly,psi01,200,206.083
Kalamazoo,hourly,psi01,300,235.917
Kalamazoo,daily,psi02,50,4.0
Kalamazoo,daily,psi02,100,56.0
Kalamazoo,daily,psi02,200,159.0
Kalamazoo,daily,psi02,300,199.0
Kalamazoo,daily,psi01,50,53.0
Kalamazoo,daily,psi01,100,144.0
Kalamazoo,daily,psi01,200,209.0
Kalamazoo,daily,psi01,300,240.0
Kalamazoo,monthly,psi02,50,5.75406
Kalamazoo,monthly,psi02,100,48.5252
Kalamazoo,monthly,psi02,200,157.0
Kalamazoo,monthly,psi02,300,208.0
Kalamazoo,monthly,psi01,50,43.5252
Kalamazoo,monthly,psi01,100,145.0
Kalamazoo,monthly,psi01,200,215.0
Kalamazoo,monthly,psi01,300,243.0
Kuma,hourly,psi02,50,175.542
Kuma,hourly,psi02,100,226.583
Kuma,hourly,psi02,200,314.292
Kuma,hourly,psi02,300,647.5
Kuma,hourly,psi01,50,210.708
Kuma,hourly,psi01,100,265.125
Kuma,hourly,psi01,200,580.292
Kuma,hourly,psi01,300,694.083
Kuma,daily,psi02,50,155.0
Kuma,daily,psi02,100,176.0
Kuma,daily,psi02,200,315.0
Kuma,daily,psi02,300,653.0
Kuma,daily,psi01,50,210.594
Kuma,daily,psi01,100,267.0
Kuma,daily,psi01,200,597.0
Kuma,daily,psi01,300,710.0
Kuma,monthly,psi02,50,185.0
Kuma,monthly,psi02,100,247.0
Kuma,monthly,psi02,200,345.0
Kuma,monthly,psi02,300,699.0
Kuma,monthly,psi01,50,231.0
Kuma,monthly,psi01,100,301.0
Kuma,monthly,psi01,200,641.0
Kuma,monthly,psi01,300,891.0
Palouse,hourly,psi02,50,7.0
Palouse,hourly,psi02,100,55.292
Palouse,hourly,psi02,200,203.167
Palouse,hourly,psi02,300,405.0
Palouse,hourly,psi01,50,42.667
Palouse,hourly,psi01,100,103.25
Palouse,hourly,psi01,200,279.833
Palouse,hourly,psi01,300,497.458
Palouse,daily,psi02,50,2.75782
Palouse,daily,psi02,100,44.0
Palouse,daily,psi02,200,203.0
Palouse,daily,psi02,300,412.0
Palouse,daily,psi01,50,42.0
Palouse,daily,psi01,100,105.0
Palouse,daily,psi01,200,281.0
Palouse,daily,psi01,300,507.0
Palouse,monthly,psi02,50,4.09107
Palouse,monthly,psi02,100,32.0
Palouse,monthly,psi02,200,179.0
Palouse,monthly,psi02,300,379.0
Palouse,monthly,psi01,50,36.0
Palouse,monthly,psi01,100,100.0
Palouse,monthly,psi01,200,288.0
Palouse,monthly,psi01,300,494.0
Pullman,hourly,psi02,50,103.708
Pullman,hourly,psi02,100,255.125
Pullman,hourly,psi02,200,567.792
Pullman,hourly,psi02,300,845.042
Pullman,hourly,psi01,50,228.417
Pullman,hourly,psi01,100,280.75
Pullman,hourly,psi01,200,634.583
Pullman,hourly,psi01,300,1014.83
Pullman,daily,psi02,50,103.0
Pullman,daily,psi02,100,255.0
Pullman,daily,psi02,200,580.0
Pullman,daily,psi02,300,976.5
Pullman,daily,psi01,50,228.0
Pullman,daily,psi01,100,289.0
Pullman,daily,psi01,200,650.0
Pullman,daily,psi01,300,1037.0
Pullman,monthly,psi02,50,48.9533
Pullman,monthly,psi02,100,284.0
Pullman,monthly,psi02,200,648.0
Pullman,monthly,psi02,300,1075.0
Pullman,monthly,psi01,50,241.0
Pullman,monthly,psi01,100,324.0
Pullman,monthly,psi01,200,736.0
Pullman,monthly,psi01,300,1348.0
Yolo,hourly,psi02,50,3.208
Yolo,hourly,psi02,100,67.042
Yolo,hourly,psi02,200,238.125
Yolo,hourly,psi02,300,408.25
Yolo,hourly,psi01,50,60.0
Yolo,hourly,psi01,100,138.375
Yolo,hourly,psi01,200,285.458
Yolo,hourly,psi01,300,581.542
Yolo,daily,psi02,50,3.0
Yolo,daily,psi02,100,62.0
Yolo,daily,psi02,200,238.321
Yolo,daily,psi02,300,470.0
Yolo,daily,psi01,50,59.0
Yolo,daily,psi01,100,140.0
Yolo,daily,psi01,200,290.0
Yolo,daily,psi01,300,602.0
Yolo,monthly,psi02,50,5.24815
Yolo,monthly,psi02,100,64.0
Yolo,monthly,psi02,200,203.0
Yolo,monthly,psi02,300,491.0
Yolo,monthly,psi01,50,46.0
Yolo,monthly,psi01,100,133.0
Yolo,monthly,psi01,200,306.0
Yolo,monthly,psi01,300,615.0
