site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi02,50,17.083
Cecil,hourly,psi02,100,49.875
Cecil,hourly,psi02,200,180.5
Cecil,hourly,psi02,300,262.958
Cecil,hourly,psi01,50,44.167
Cecil,hourly,psi01,100,134.25
Cecil,hourly,psi01,200,221.0
Cecil,hourly,psi01,300,379.167
Cecil,daily,psi02,50,17.0
Cecil,daily,psi02,100,49.4464
Cecil,daily,psi02,200,179.33
Cecil,daily,psi02,300,265.0
Cecil,daily,psi01,50,45.0
Cecil,daily,psi01,100,137.0
Cecil,daily,psi01,200,223.0
Cecil,daily,psi01,300,404.0
Cecil,monthly,psi02,50,5.61189
Cecil,monthly,psi02,100,42.7261
Cecil,monthly,psi02,200,169.327
Cecil,monthly,psi02,300,262.0
Cecil,monthly,psi01,50,32.7261
Cecil,monthly,psi01,100,111.882
Cecil,monthly,psi01,200,229.0
Cecil,monthly,psi01,300,361.0
Flanagan,hourly,psi02,50,47.208
Flanagan,hourly,psi02,100,260.375
Flanagan,hourly,psi02,200,338.667
Flanagan,hourly,psi02,300,524.792
Flanagan,hourly,psi01,50,211.583
Flanagan,hourly,psi01,100,289.375
Flanagan,hourly,psi01,200,434.042
Flanagan,hourly,psi01,300,638.125
Flanagan,daily,psi02,50,31.0
Flanagan,daily,psi02,100,205.0
Flanagan,daily,psi02,200,342.0
Flanagan,daily,psi02,300,538.0
Flanagan,daily,psi01,50,212.0
Flanagan,daily,psi01,100,289.0
Flanagan,daily,psi01,200,445.0
Flanagan,daily,psi01,300,652.0
Flanagan,monthly,psi02,50,82.0
Flanagan,monthly,psi02,100,281.0
Flanagan,monthly,psi02,200,386.0
Flanagan,monthly,psi02,300,628.0
Flanagan,monthly,psi01,50,245.0
Flanagan,monthly,psi01,100,322.0
Flanagan,monthly,psi01,200,498.0
Flanagan,monthly,psi01,300,705.0
HoustonBlack,hourly,psi02,50,25.25
HoustonBlack,hourly,psi02,100,62.958
HoustonBlack,hourly,psi02,200,340.167
HoustonBlack,hourly,psi02,300,676.542
HoustonBlack,hourly,psi01,50,40.75
HoustonBlack,hourly,psi01,100,214.958
HoustonBlack,hourly,psi01,200,561.833
HoustonBlack,hourly,psi01,300,779.583
HoustonBlack,daily,psi02,50,15.0
HoustonBlack,daily,psi02,100,42.0
HoustonBlack,daily,psi02,200,344.0
HoustonBlack,daily,psi02,300,685.0
HoustonBlack,daily,psi01,50,41.0
HoustonBlack,daily,psi01,100,219.0
HoustonBlack,daily,psi01,200,581.0
HoustonBlack,daily,psi01,300,795.0
HoustonBlack,monthly,psi02,50,40.9826
HoustonBlack,monthly,psi02,100,100.0
HoustonBlack,monthly,psi02,200,408.0
HoustonBlack,monthly,psi02,300,754.0
HoustonBlack,monthly,psi01,50,73.3788
HoustonBlack,monthly,psi01,100,244.0
HoustonBlack,monthly,psi01,200,620.0
HoustonBlack,monthly,psi01,300,846.0
Kalamazoo,hourly,psi02,50,10.958
Kalamazoo,hourly,psi02,100,135.75
Kalamazoo,hourly,psi02,200,233.417
Kalamazoo,hourly,psi02,300,259.792
Kalamazoo,hourly,psi01,50,95.25
Kalamazoo,hourly,psi01,100,224.333
Kalamazoo,hourly,psi01,200,287.875
Kalamazoo,hourly,psi01,300,328.542
Kalamazoo,daily,psi02,50,10.0
Kalamazoo,daily,psi02,100,122.0
Kalamazoo,daily,psi02,200,231.0
Kalamazoo,daily,psi02,300,257.0
Kalamazoo,daily,psi01,50,94.0
Kalamazoo,daily,psi01,100,224.492
Kalamazoo,daily,psi01,200,291.678
Kalamazoo,daily,psi01,300,333.0
Kalamazoo,monthly,psi02,50,46.6644
Kalamazoo,monthly,psi02,100,159.844
Kalamazoo,monthly,psi02,200,266.0
Kalamazoo,monthly,psi02,300,297.0
Kalamazoo,monthly,psi01,50,117.594
Kalamazoo,monthly,psi01,100,253.0
Kalamazoo,monthly,psi01,200,319.0
Kalamazoo,monthly,psi01,300,373.0
Kuma,hourly,psi02,50,99.417
Kuma,hourly,psi02,100,271.25
Kuma,hourly,psi02,200,367.167
Kuma,hourly,psi02,300,706.375
Kuma,hourly,psi01,50,229.0
Kuma,hourly,psi01,100,301.875
Kuma,hourly,psi01,200,648.875
Kuma,hourly,psi01,300,950.917
Kuma,daily,psi02,50,33.0
Kuma,daily,psi02,100,271.0
Kuma,daily,psi02,200,373.0
Kuma,daily,psi02,300,717.0
Kuma,daily,psi01,50,228.601
Kuma,daily,psi01,100,302.5
Kuma,daily,psi01,200,656.0
Kuma,daily,psi01,300,967.0
Kuma,monthly,psi02,50,44.0
