site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi02,50,30.958
Cecil,hourly,psi02,100,109.833
Cecil,hourly,psi02,200,292.958
Cecil,hourly,psi02,300,463.708
Cecil,hourly,psi01,50,86.75
Cecil,hourly,psi01,100,200.833
Cecil,hourly,psi01,200,391.125
Cecil,hourly,psi01,300,551.958
Cecil,daily,psi02,50,8.3474
Cecil,daily,psi02,100,64.6296
Cecil,daily,psi02,200,289.0
Cecil,daily,psi02,300,471.0
Cecil,daily,psi01,50,86.0
Cecil,daily,psi01,100,203.0
Cecil,daily,psi01,200,407.743
Cecil,daily,psi01,300,558.0
Cecil,monthly,psi02,50,15.1547
Cecil,monthly,psi02,100,112.0
Cecil,monthly,psi02,200,317.0
Cecil,monthly,psi02,300,522.0
Cecil,monthly,psi01,50,88.0
Cecil,monthly,psi01,100,212.0
Cecil,monthly,psi01,200,437.0
Cecil,monthly,psi01,300,588.0
Flanagan,hourly,psi02,50,26.458
Flanagan,hourly,psi02,100,106.792
Flanagan,hourly,psi02,200,239.375
Flanagan,hourly,psi02,300,336.417
Flanagan,hourly,psi01,50,81.542
Flanagan,hourly,psi01,100,183.875
Flanagan,hourly,psi01,200,285.5
Flanagan,hourly,psi01,300,434.958
Flanagan,daily,psi02,50,26.0
Flanagan,daily,psi02,100,27.0
Flanagan,daily,psi02,200,238.0
Flanagan,daily,psi02,300,337.0
Flanagan,daily,psi01,50,81.0
Flanagan,daily,psi01,100,186.0
Flanagan,daily,psi01,200,290.639
Flanagan,daily,psi01,300,453.0
Flanagan,monthly,psi02,50,25.1871
Flanagan,monthly,psi02,100,113.0
Flanagan,monthly,psi02,200,260.0
Flanagan,monthly,psi02,300,367.0
Flanagan,monthly,psi01,50,88.0
Flanagan,monthly,psi01,100,191.0
Flanagan,monthly,psi01,200,313.0
Flanagan,monthly,psi01,300,493.0
HoustonBlack,hourly,psi02,50,58.125
HoustonBlack,hourly,psi02,100,212.958
HoustonBlack,hourly,psi02,200,567.708
HoustonBlack,hourly,psi02,300,748.917
HoustonBlack,hourly,psi01,50,169.958
HoustonBlack,hourly,psi01,100,274.25
HoustonBlack,hourly,psi01,200,658.75
HoustonBlack,hourly,psi01,300,863.25
HoustonBlack,daily,psi02,50,57.0
HoustonBlack,daily,psi02,100,209.0
HoustonBlack,daily,psi02,200,571.919
HoustonBlack,daily,psi02,300,760.0
HoustonBlack,daily,psi01,50,170.0
HoustonBlack,daily,psi01,100,276.441
HoustonBlack,daily,psi01,200,669.0
HoustonBlack,daily,psi01,300,892.0
HoustonBlack,monthly,psi02,50,81.6076
HoustonBlack,monthly,psi02,100,238.0
HoustonBlack,monthly,psi02,200,633.0
HoustonBlack,monthly,psi02,300,867.0
HoustonBlack,monthly,psi01,50,192.0
HoustonBlack,monthly,psi01,100,314.0
HoustonBlack,monthly,psi01,200,728.0
HoustonBlack,monthly,psi01,300,1018.0
Kalamazoo,hourly,psi02,50,2.917
Kalamazoo,hourly,psi02,100,62.708
Kalamazoo,hourly,psi02,200,94.292
Kalamazoo,hourly,psi02,300,124.25
Kalamazoo,hourly,psi01,50,52.875
Kalamazoo,hourly,psi01,100,87.792
Kalamazoo,hourly,psi01,200,132.5
Kalamazoo,hourly,psi01,300,190.167
Kalamazoo,daily,psi02,50,2.87355
Kalamazoo,daily,psi02,100,58.577
Kalamazoo,daily,psi02,200,94.1386
Kalamazoo,daily,psi02,300,124.0
Kalamazoo,daily,psi01,50,52.5321
Kalamazoo,daily,psi01,100,88.0
Kalamazoo,daily,psi01,200,134.0
Kalamazoo,daily,psi01,300,192.0
Kalamazoo,monthly,psi02,50,11.9187
Kalamazoo,monthly,psi02,100,73.0
Kalamazoo,monthly,psi02,200,115.0
Kalamazoo,monthly,psi02,300,139.0
Kalamazoo,monthly,psi01,50,65.0
Kalamazoo,monthly,psi01,100,107.0
Kalamazoo,monthly,psi01,200,149.0
Kalamazoo,monthly,psi01,300,197.0
