site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi01,50,82.4464
Cecil,hourly,psi01,100,165.333
Cecil,hourly,psi01,200,269.0
Cecil,hourly,psi01,300,416.917
Cecil,hourly,psi02,50,19.583
Cecil,hourly,psi02,100,118.958
Cecil,hourly,psi02,200,236.833
Cecil,hourly,psi02,300,316.292
Cecil,daily,psi01,50,81.0
Cecil,daily,psi01,100,170.0
Cecil,daily,psi01,200,271.0
Cecil,daily,psi01,300,427.0
Cecil,daily,psi02,50,16.4436
Cecil,daily,psi02,100,118.0
Cecil,daily,psi02,200,234.0
Cecil,daily,psi02,300,316.608
Cecil,monthly,psi01,50,96.0
Cecil,monthly,psi01,100,187.0
Cecil,monthly,psi01,200,288.0
Cecil,monthly,psi01,300,464.0
Cecil,monthly,psi02,50,21.1671
Cecil,monthly,psi02,100,153.0
Cecil,monthly,psi02,200,261.0
Cecil,monthly,psi02,300,351.0
Flanagan,hourly,psi01,50,39.542
Flanagan,hourly,psi01,100,129.708
Flanagan,hourly,psi01,200,305.125
Flanagan,hourly,psi01,300,484.292
Flanagan,hourly,psi02,50,1.792
Flanagan,hourly,psi02,100,68.208
Flanagan,hourly,psi02,200,227.708
Flanagan,hourly,psi02,300,421.292
Flanagan,daily,psi01,50,40.0
Flanagan,daily,psi01,100,131.441
Flanagan,daily,psi01,200,312.0
Flanagan,daily,psi01,300,489.0
Flanagan,daily,psi02,50,1.0
Flanagan,daily,psi02,100,60.0
Flanagan,daily,psi02,200,226.0
Flanagan,daily,psi02,300,423.0
Flanagan,monthly,psi01,50,40.7152
Flanagan,monthly,psi01,100,147.154
Flanagan,monthly,psi01,200,330.0
Flanagan,monthly,psi01,300,510.0
Flanagan,monthly,psi02,50,0.102443
Flanagan,monthly,psi02,100,66.6153
Flanagan,monthly,psi02,200,232.0
Flanagan,monthly,psi02,300,436.0
HoustonBlack,hourly,psi01,50,67.458
HoustonBlack,hourly,psi01,100,134.042
HoustonBlack,hourly,psi01,200,381.375
HoustonBlack,hourly,psi01,300,682.792
HoustonBlack,hourly,psi02,50,13.708
HoustonBlack,hourly,psi02,100,99.4388
HoustonBlack,hourly,psi02,200,235.083
HoustonBlack,hourly,psi02,300,516.952
HoustonBlack,daily,psi01,50,67.0
HoustonBlack,daily,psi01,100,143.503
HoustonBlack,daily,psi01,200,397.394
HoustonBlack,daily,psi01,300,775.871
HoustonBlack,daily,psi02,50,13.0
HoustonBlack,daily,psi02,100,87.0
HoustonBlack,daily,psi02,200,237.0
HoustonBlack,daily,psi02,300,526.0
HoustonBlack,monthly,psi01,50,56.0
HoustonBlack,monthly,psi01,100,166.0
HoustonBlack,monthly,psi01,200,443.0
HoustonBlack,monthly,psi01,300,861.0
HoustonBlack,monthly,psi02,50,8.03158
HoustonBlack,monthly,psi02,100,96.0
HoustonBlack,monthly,psi02,200,290.0
HoustonBlack,monthly,psi02,300,589.0
Kalamazoo,hourly,psi01,50,38.667
Kalamazoo,hourly,psi01,100,94.833
Kalamazoo,hourly,psi01,200,189.25
Kalamazoo,hourly,psi01,300,222.25
Kalamazoo,hourly,psi02,50,14.75
Kalamazoo,hourly,psi02,100,44.875
Kalamazoo,hourly,psi02,200,116.958
Kalamazoo,hourly,psi02,300,167.25
Kalamazoo,daily,psi01,50,38.0
Kalamazoo,daily,psi01,100,95.0
Kalamazoo,daily,psi01,200,193.0
Kalamazoo,daily,psi01,300,226.0
Kalamazoo,daily,psi02,50,14.0
Kalamazoo,daily,psi02,100,41.0
Kalamazoo,daily,psi02,200,108.0
Kalamazoo,daily,psi02,300,165.0
Kalamazoo,monthly,psi01,50,33.8908
Kalamazoo,monthly,psi01,100,104.651
Kalamazoo,monthly,psi01,200,205.0
Kalamazoo,monthly,psi01,300,239.0
Kalamazoo,monthly,psi02,50,5.52384
Kalamazoo,monthly,psi02,100,38.8908
Kalamazoo,monthly,psi02,200,120.651
Kalamazoo,monthly,psi02,300,180.53
Kuma,hourly,psi01,50,47.417
Kuma,hourly,psi01,100,114.958
Kuma,hourly,psi01,200,429.792
Kuma,hourly,psi01,300,528.5
Kuma,hourly,psi02,50,11.5216
Kuma,hourly,psi02,100,86.3604
Kuma,hourly,psi02,200,207.083
Kuma,hourly,psi02,300,479.333
Kuma,daily,psi01,50,47.3644
Kuma,daily,psi01,100,118.0
Kuma,daily,psi01,200,436.292
Kuma,daily,psi01,300,543.0
Kuma,daily,psi02,50,11.0
Kuma,daily,psi02,100,86.0
Kuma,daily,psi02,200,207.0
Kuma,daily,psi02,300,484.0
Kuma,monthly,psi01,50,48.8918
Kuma,monthly,psi01,100,125.679
Kuma,monthly,psi01,200,453.0
Kuma,monthly,psi01,300,663.0
Kuma,monthly,psi02,50,0.191753
Kuma,monthly,psi02,100,73.6827
Kuma,monthly,psi02,200,222.726
Kuma,monthly,psi02,300,512.0
Palouse,hourly,psi01,50,76.583
Palouse,hourly,psi01,100,124.542
Palouse,hourly,psi01,200,383.292
Palouse,hourly,psi01,300,538.0
Palouse,hourly,psi02,50,28.458
Palouse,hourly,psi02,100,91.0
Palouse,hourly,psi02,200,214.333
Palouse,hourly,psi02,300,487.708
Palouse,daily,psi01,50,75.0
Palouse,daily,psi01,100,125.0
Palouse,daily,psi01,200,395.0
Palouse,daily,psi01,300,576.0
Palouse,daily,psi02,50,28.2236
Palouse,daily,psi02,100,89.0
Palouse,daily,psi02,200,214.0
Palouse,daily,psi02,300,490.0
Palouse,monthly,psi01,50,88.8175
Palouse,monthly,psi01,100,133.0
Palouse,monthly,psi01,200,407.0
Palouse,monthly,psi01,300,596.0
Palouse,monthly,psi02,50,36.563
Palouse,monthly,psi02,100,103.132
Palouse,monthly,psi02,200,250.0
Palouse,monthly,psi02,300,508.0
Pullman,hourly,psi01,50,65.5126
Pullman,hourly,psi01,100,127.667
Pullman,hourly,psi01,200,464.875
Pullman,hourly,psi01,300,832.417
Pullman,hourly,psi02,50,21.042
Pullman,hourly,psi02,100,93.042
Pullman,hourly,psi02,200,388.583
Pullman,hourly,psi02,300,569.458
Pullman,daily,psi01,50,74.0
Pullman,daily,psi01,100,130.441
Pullman,daily,psi01,200,478.0
Pullman,daily,psi01,300,850.0
Pullman,daily,psi02,50,19.0
Pullman,daily,psi02,100,92.0
Pullman,daily,psi02,200,395.325
Pullman,daily,psi02,300,648.0
Pullman,monthly,psi01,50,73.0
Pullman,monthly,psi01,100,160.0
Pullman,monthly,psi01,200,510.0
Pullman,monthly,psi01,300,926.0
Pullman,monthly,psi02,50,13.2796
Pullman,monthly,psi02,100,106.0
Pullman,monthly,psi02,200,437.0
Pullman,monthly,psi02,300,848.0
Yolo,hourly,psi01,50,74.4437
Yolo,hourly,psi01,100,113.917
Yolo,hourly,psi01,200,292.333
Yolo,hourly,psi01,300,451.667
Yolo,hourly,psi02,50,19.083
Yolo,hourly,psi02,100,86.125
Yolo,hourly,psi02,200,187.25
Yolo,hourly,psi02,300,339.208
Yolo,daily,psi01,50,74.0
Yolo,daily,psi01,100,115.36
Yolo,daily,psi01,200,293.0
Yolo,daily,psi01,300,461.0
Yolo,daily,psi02,50,19.2725
Yolo,daily,psi02,100,86.1611
Yolo,daily,psi02,200,194.0
Yolo,daily,psi02,300,351.0
Yolo,monthly,psi01,50,73.605
Yolo,monthly,psi01,100,131.564
Yolo,monthly,psi01,200,301.325
Yolo,monthly,psi01,300,489.0
Yolo,monthly,psi02,50,16.6667
Yolo,monthly,psi02,100,93.7389
Yolo,monthly,psi02,200,239.573
Yolo,monthly,psi02,300,438.0
