site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi01,50,27.542
Cecil,hourly,psi01,100,77.542
Cecil,hourly,psi01,200,258.792
Cecil,hourly,psi01,300,491.708
Cecil,hourly,psi02,50,10.667
Cecil,hourly,psi02,100,1e-07
Cecil,hourly,psi02,200,172.875
Cecil,hourly,psi02,300,304.417
Cecil,daily,psi01,50,27.5224
Cecil,daily,psi01,100,78.0
Cecil,daily,psi01,200,263.0
Cecil,daily,psi01,300,502.0
Cecil,daily,psi02,50,10.0
Cecil,daily,psi02,100,1e-07
Cecil,daily,psi02,200,173.528
Cecil,daily,psi02,300,314.0
Cecil,monthly,psi01,50,45.0
Cecil,monthly,psi01,100,98.0
Cecil,monthly,psi01,200,294.0
Cecil,monthly,psi01,300,533.0
Cecil,monthly,psi02,50,12.1357
Cecil,monthly,psi02,100,30.0
Cecil,monthly,psi02,200,162.0
Cecil,monthly,psi02,300,345.0
Flanagan,hourly,psi01,50,85.5
Flanagan,hourly,psi01,100,199.458
Flanagan,hourly,psi01,200,377.083
Flanagan,hourly,psi01,300,546.458
Flanagan,hourly,psi02,50,15.5
Flanagan,hourly,psi02,100,145.208
Flanagan,hourly,psi02,200,249.833
Flanagan,hourly,psi02,300,456.458
Flanagan,daily,psi01,50,85.0
Flanagan,daily,psi01,100,199.0
Flanagan,daily,psi01,200,383.0
Flanagan,daily,psi01,300,552.0
Flanagan,daily,psi02,50,16.0
Flanagan,daily,psi02,100,109.0
Flanagan,daily,psi02,200,254.0
Flanagan,daily,psi02,300,464.0
Flanagan,monthly,psi01,50,96.0
Flanagan,monthly,psi01,100,219.0
Flanagan,monthly,psi01,200,415.0
Flanagan,monthly,psi01,300,589.0
Flanagan,monthly,psi02,50,30.0
Flanagan,monthly,psi02,100,133.0
Flanagan,monthly,psi02,200,283.0
Flanagan,monthly,psi02,300,506.0
HoustonBlack,hourly,psi01,50,125.958
HoustonBlack,hourly,psi01,100,248.0
HoustonBlack,hourly,psi01,200,618.667
HoustonBlack,hourly,psi01,300,855.25
HoustonBlack,hourly,psi02,50,55.375
HoustonBlack,hourly,psi02,100,190.958
HoustonBlack,hourly,psi02,200,437.042
HoustonBlack,hourly,psi02,300,765.75
HoustonBlack,daily,psi01,50,125.0
HoustonBlack,daily,psi01,100,254.0
HoustonBlack,daily,psi01,200,629.0
HoustonBlack,daily,psi01,300,868.0
HoustonBlack,daily,psi02,50,54.0
HoustonBlack,daily,psi02,100,166.0
HoustonBlack,daily,psi02,200,443.0
HoustonBlack,daily,psi02,300,784.0
HoustonBlack,monthly,psi01,50,168.0
HoustonBlack,monthly,psi01,100,296.0
HoustonBlack,monthly,psi01,200,703.0
HoustonBlack,monthly,psi01,300,958.0
HoustonBlack,monthly,psi02,50,80.1098
HoustonBlack,monthly,psi02,100,222.0
HoustonBlack,monthly,psi02,200,609.0
HoustonBlack,monthly,psi02,300,865.0
Kalamazoo,hourly,psi01,50,34.375
Kalamazoo,hourly,psi01,100,146.917
Kalamazoo,hourly,psi01,200,185.75
Kalamazoo,hourly,psi01,300,218.292
Kalamazoo,hourly,psi02,50,10.875
Kalamazoo,hourly,psi02,100,42.75
Kalamazoo,hourly,psi02,200,164.125
Kalamazoo,hourly,psi02,300,180.208
Kalamazoo,daily,psi01,50,34.0
Kalamazoo,daily,psi01,100,149.176
Kalamazoo,daily,psi01,200,188.0
Kalamazoo,daily,psi01,300,222.0
Kalamazoo,daily,psi02,50,7.0
Kalamazoo,daily,psi02,100,33.0
Kalamazoo,daily,psi02,200,161.0
Kalamazoo,daily,psi02,300,180.0
Kalamazoo,monthly,psi01,50,41.9406
Kalamazoo,monthly,psi01,100,121.0
Kalamazoo,monthly,psi01,200,208.0
Kalamazoo,monthly,psi01,300,236.0
Kalamazoo,monthly,psi02,50,5.84833
Kalamazoo,monthly,psi02,100,42.9406
Kalamazoo,monthly,psi02,200,135.0
Kalamazoo,monthly,psi02,300,202.0
