site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi01,50,68.4651
Cecil,hourly,psi01,100,163.375
Cecil,hourly,psi01,200,347.208
Cecil,hourly,psi01,300,496.708
Cecil,hourly,psi02,50,17.625
Cecil,hourly,psi02,100,116.042
Cecil,hourly,psi02,200,276.083
Cecil,hourly,psi02,300,411.708
Cecil,daily,psi01,50,63.0
Cecil,daily,psi01,100,171.0
Cecil,daily,psi01,200,350.0
Cecil,daily,psi01,300,514.0
Cecil,daily,psi02,50,14.4008
Cecil,daily,psi02,100,115.0
Cecil,daily,psi02,200,275.0
Cecil,daily,psi02,300,415.0
Cecil,monthly,psi01,50,84.0
Cecil,monthly,psi01,100,200.0
Cecil,monthly,psi01,200,374.0
Cecil,monthly,psi01,300,563.0
Cecil,monthly,psi02,50,18.1636
Cecil,monthly,psi02,100,150.0
Cecil,monthly,psi02,200,327.0
Cecil,monthly,psi02,300,476.0
Flanagan,hourly,psi01,50,45.042
Flanagan,hourly,psi01,100,93.333
Flanagan,hourly,psi01,200,250.833
Flanagan,hourly,psi01,300,409.875
Flanagan,hourly,psi02,50,11.5
Flanagan,hourly,psi02,100,70.0
Flanagan,hourly,psi02,200,147.792
Flanagan,hourly,psi02,300,346.292
Flanagan,daily,psi01,50,45.0
Flanagan,daily,psi01,100,93.5
Flanagan,daily,psi01,200,261.0
Flanagan,daily,psi01,300,420.557
Flanagan,daily,psi02,50,11.0
Flanagan,daily,psi02,100,41.0
Flanagan,daily,psi02,200,147.0
Flanagan,daily,psi02,300,354.0
Flanagan,monthly,psi01,50,67.0
Flanagan,monthly,psi01,100,119.0
Flanagan,monthly,psi01,200,303.0
Flanagan,monthly,psi01,300,462.0
Flanagan,monthly,psi02,50,31.0
Flanagan,monthly,psi02,100,92.0
Flanagan,monthly,psi02,200,183.0
Flanagan,monthly,psi02,300,389.0
HoustonBlack,hourly,psi01,50,54.5075
HoustonBlack,hourly,psi01,100,126.958
HoustonBlack,hourly,psi01,200,514.417
HoustonBlack,hourly,psi01,300,781.0
HoustonBlack,hourly,psi02,50,14.0
HoustonBlack,hourly,psi02,100,86.75
HoustonBlack,hourly,psi02,200,451.417
HoustonBlack,hourly,psi02,300,624.167
HoustonBlack,daily,psi01,50,65.0
HoustonBlack,daily,psi01,100,138.5
HoustonBlack,daily,psi01,200,524.0
HoustonBlack,daily,psi01,300,808.0
HoustonBlack,daily,psi02,50,13.774
HoustonBlack,daily,psi02,100,86.0
HoustonBlack,daily,psi02,200,455.0
HoustonBlack,daily,psi02,300,658.0
HoustonBlack,monthly,psi01,50,52.0
HoustonBlack,monthly,psi01,100,171.0
HoustonBlack,monthly,psi01,200,563.0
HoustonBlack,monthly,psi01,300,868.0
HoustonBlack,monthly,psi02,50,9.07713
HoustonBlack,monthly,psi02,100,92.0
HoustonBlack,monthly,psi02,200,487.0
HoustonBlack,monthly,psi02,300,722.0
Kalamazoo,hourly,psi01,50,67.125
Kalamazoo,hourly,psi01,100,105.875
Kalamazoo,hourly,psi01,200,149.458
Kalamazoo,hourly,psi01,300,161.167
Kalamazoo,hourly,psi02,50,13.0
Kalamazoo,hourly,psi02,100,82.75
Kalamazoo,hourly,psi02,200,135.042
Kalamazoo,hourly,psi02,300,151.042
Kalamazoo,daily,psi01,50,66.0
Kalamazoo,daily,psi01,100,107.382
Kalamazoo,daily,psi01,200,150.0
Kalamazoo,daily,psi01,300,170.0
Kalamazoo,daily,psi02,50,12.0
Kalamazoo,daily,psi02,100,82.0
Kalamazoo,daily,psi02,200,133.0
Kalamazoo,daily,psi02,300,151.0
Kalamazoo,monthly,psi01,50,54.2
Kalamazoo,monthly,psi01,100,144.0
Kalamazoo,monthly,psi01,200,179.0
Kalamazoo,monthly,psi01,300,203.0
Kalamazoo,monthly,psi02,50,11.9229
Kalamazoo,monthly,psi02,100,98.0
Kalamazoo,monthly,psi02,200,163.0
Kalamazoo,monthly,psi02,300,179.0
Kuma,hourly,psi01,50,57.333
Kuma,hourly,psi01,100,104.5
Kuma,hourly,psi01,200,436.25
Kuma,hourly,psi01,300,585.667
Kuma,hourly,psi02,50,18.4771
Kuma,hourly,psi02,100,82.4397
Kuma,hourly,psi02,200,190.75
Kuma,hourly,psi02,300,494.917
Kuma,daily,psi01,50,57.0
Kuma,daily,psi01,100,109.0
Kuma,daily,psi01,200,443.0
Kuma,daily,psi01,300,680.0
Kuma,daily,psi02,50,18.3248
Kuma,daily,psi02,100,69.0
Kuma,daily,psi02,200,191.0
Kuma,daily,psi02,300,503.0
Kuma,monthly,psi01,50,66.0
Kuma,monthly,psi01,100,137.0
Kuma,monthly,psi01,200,461.0
Kuma,monthly,psi01,300,774.0
Kuma,monthly,psi02,50,15.3441
Kuma,monthly,psi02,100,85.0
Kuma,monthly,psi02,200,271.0
Kuma,monthly,psi02,300,532.0
Palouse,hourly,psi01,50,70.458
Palouse,hourly,psi01,100,112.083
Palouse,hourly,psi01,200,270.958
Palouse,hourly,psi01,300,467.708
Palouse,hourly,psi02,50,29.375
Palouse,hourly,psi02,100,82.333
Palouse,hourly,psi02,200,245.5
Palouse,hourly,psi02,300,424.083
Palouse,daily,psi01,50,70.9253
Palouse,daily,psi01,100,116.0
Palouse,daily,psi01,200,280.0
Palouse,daily,psi01,300,475.0
Palouse,daily,psi02,50,26.0
Palouse,daily,psi02,100,81.0
Palouse,daily,psi02,200,245.0
Palouse,daily,psi02,300,428.0
Palouse,monthly,psi01,50,85.0
Palouse,monthly,psi01,100,147.0
Palouse,monthly,psi01,200,313.0
Palouse,monthly,psi01,300,500.0
Palouse,monthly,psi02,50,52.4613
Palouse,monthly,psi02,100,104.0
Palouse,monthly,psi02,200,264.0
Palouse,monthly,psi02,300,456.0
Pullman,hourly,psi01,50,50.3892
Pullman,hourly,psi01,100,110.292
Pullman,hourly,psi01,200,480.0
Pullman,hourly,psi01,300,824.208
Pullman,hourly,psi02,50,9.32046
Pullman,hourly,psi02,100,72.042
Pullman,hourly,psi02,200,427.958
Pullman,hourly,psi02,300,731.083
Pullman,daily,psi01,50,50.0
Pullman,daily,psi01,100,117.0
Pullman,daily,psi01,200,492.0
Pullman,daily,psi01,300,845.0
Pullman,daily,psi02,50,6.0
Pullman,daily,psi02,100,71.0
Pullman,daily,psi02,200,433.0
Pullman,daily,psi02,300,764.5
Pullman,monthly,psi01,50,45.5078
Pullman,monthly,psi01,100,134.0
Pullman,monthly,psi01,200,546.0
Pullman,monthly,psi01,300,902.0
Pullman,monthly,psi02,50,8.95784
Pullman,monthly,psi02,100,71.0
Pullman,monthly,psi02,200,461.0
Pullman,monthly,psi02,300,827.0
Yolo,hourly,psi01,50,53.485
Yolo,hourly,psi01,100,93.75
Yolo,hourly,psi01,200,314.583
Yolo,hourly,psi01,300,488.0
Yolo,hourly,psi02,50,9.417
Yolo,hourly,psi02,100,72.292
Yolo,hourly,psi02,200,164.75
Yolo,hourly,psi02,300,449.458
Yolo,daily,psi01,50,52.0
Yolo,daily,psi01,100,99.0
Yolo,daily,psi01,200,321.0
Yolo,daily,psi01,300,502.0
Yolo,daily,psi02,50,9.0
Yolo,daily,psi02,100,72.0
Yolo,daily,psi02,200,203.0
Yolo,daily,psi02,300,458.0
Yolo,monthly,psi01,50,56.9203
Yolo,monthly,psi01,100,128.0
Yolo,monthly,psi01,200,366.0
Yolo,monthly,psi01,300,556.0
Yolo,monthly,psi02,50,9.50808
Yolo,monthly,psi02,100,86.3477
Yolo,monthly,psi02,200,271.0
Yolo,monthly,psi02,300,495.0
