site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi01,50,58.083
Cecil,hourly,psi01,100,102.875
Cecil,hourly,psi01,200,256.708
Cecil,hourly,psi01,300,385.583
Cecil,hourly,psi02,50,12.25
Cecil,hourly,psi02,100,70.125
Cecil,hourly,psi02,200,145.75
Cecil,hourly,psi02,300,324.458
Cecil,daily,psi01,50,57.0
Cecil,daily,psi01,100,103.0
Cecil,daily,psi01,200,261.0
Cecil,daily,psi01,300,393.0
Cecil,daily,psi02,50,12.0
Cecil,daily,psi02,100,58.5
Cecil,daily,psi02,200,144.384
Cecil,daily,psi02,300,326.059
Cecil,monthly,psi01,50,44.1145
Cecil,monthly,psi01,100,112.0
Cecil,monthly,psi01,200,246.0
Cecil,monthly,psi01,300,413.0
Cecil,monthly,psi02,50,9.82029
Cecil,monthly,psi02,100,66.0
Cecil,monthly,psi02,200,144.0
Cecil,monthly,psi02,300,331.0
Flanagan,hourly,psi01,50,62.417
Flanagan,hourly,psi01,100,145.75
Flanagan,hourly,psi01,200,321.125
Flanagan,hourly,psi01,300,525.5
Flanagan,hourly,psi02,50,24.75
Flanagan,hourly,psi02,100,63.333
Flanagan,hourly,psi02,200,257.833
Flanagan,hourly,psi02,300,383.917
Flanagan,daily,psi01,50,46.0
Flanagan,daily,psi01,100,153.0
Flanagan,daily,psi01,200,328.0
Flanagan,daily,psi01,300,538.0
Flanagan,daily,psi02,50,24.0
Flanagan,daily,psi02,100,62.0
Flanagan,daily,psi02,200,253.0
Flanagan,daily,psi02,300,389.0
Flanagan,monthly,psi01,50,54.0
Flanagan,monthly,psi01,100,149.0
Flanagan,monthly,psi01,200,344.0
Flanagan,monthly,psi01,300,564.0
Flanagan,monthly,psi02,50,30.0
Flanagan,monthly,psi02,100,69.0
Flanagan,monthly,psi02,200,269.0
Flanagan,monthly,psi02,300,434.0
HoustonBlack,hourly,psi01,50,56.542
HoustonBlack,hourly,psi01,100,229.0
HoustonBlack,hourly,psi01,200,548.583
HoustonBlack,hourly,psi01,300,847.917
HoustonBlack,hourly,psi02,50,19.917
HoustonBlack,hourly,psi02,100,90.917
HoustonBlack,hourly,psi02,200,348.458
HoustonBlack,hourly,psi02,300,716.917
HoustonBlack,daily,psi01,50,56.0
HoustonBlack,daily,psi01,100,231.0
HoustonBlack,daily,psi01,200,605.0
HoustonBlack,daily,psi01,300,872.0
HoustonBlack,daily,psi02,50,17.0
HoustonBlack,daily,psi02,100,74.5741
HoustonBlack,daily,psi02,200,350.0
HoustonBlack,daily,psi02,300,729.0
HoustonBlack,monthly,psi01,50,58.0
HoustonBlack,monthly,psi01,100,233.0
HoustonBlack,monthly,psi01,200,659.0
HoustonBlack,monthly,psi01,300,923.0
HoustonBlack,monthly,psi02,50,18.3578
HoustonBlack,monthly,psi02,100,84.0
HoustonBlack,monthly,psi02,200,377.0
HoustonBlack,monthly,psi02,300,814.0
Kalamazoo,hourly,psi01,50,40.125
Kalamazoo,hourly,psi01,100,96.375
Kalamazoo,hourly,psi01,200,224.042
Kalamazoo,hourly,psi01,300,247.792
Kalamazoo,hourly,psi02,50,16.0
Kalamazoo,hourly,psi02,100,47.917
Kalamazoo,hourly,psi02,200,115.333
Kalamazoo,hourly,psi02,300,184.667
Kalamazoo,daily,psi01,50,39.0
Kalamazoo,daily,psi01,100,97.1773
Kalamazoo,daily,psi01,200,227.0
Kalamazoo,daily,psi01,300,248.453
Kalamazoo,daily,psi02,50,15.3063
Kalamazoo,daily,psi02,100,46.0
Kalamazoo,daily,psi02,200,110.0
Kalamazoo,daily,psi02,300,177.0
Kalamazoo,monthly,psi01,50,41.1248
Kalamazoo,monthly,psi01,100,103.0
Kalamazoo,monthly,psi01,200,223.0
Kalamazoo,monthly,psi01,300,266.0
Kalamazoo,monthly,psi02,50,10.9277
Kalamazoo,monthly,psi02,100,47.1248
Kalamazoo,monthly,psi02,200,117.0
Kalamazoo,monthly,psi02,300,175.0
Kuma,hourly,psi01,50,221.167
Kuma,hourly,psi01,100,285.042
Kuma,hourly,psi01,200,414.5
Kuma,hourly,psi01,300,694.917
Kuma,hourly,psi02,50,37.208
Kuma,hourly,psi02,100,239.042
Kuma,hourly,psi02,200,334.917
Kuma,hourly,psi02,300,649.125
Kuma,daily,psi01,50,220.425
Kuma,daily,psi01,100,286.441
Kuma,daily,psi01,200,490.0
Kuma,daily,psi01,300,701.0
Kuma,daily,psi02,50,37.0
Kuma,daily,psi02,100,214.0
Kuma,daily,psi02,200,337.0
Kuma,daily,psi02,300,655.977
Kuma,monthly,psi01,50,218.0
Kuma,monthly,psi01,100,304.0
Kuma,monthly,psi01,200,623.0
Kuma,monthly,psi01,300,733.0
Kuma,monthly,psi02,50,26.4825
Kuma,monthly,psi02,100,245.0
Kuma,monthly,psi02,200,362.0
Kuma,monthly,psi02,300,685.0
Palouse,hourly,psi01,50,113.167
Palouse,hourly,psi01,100,270.25
Palouse,hourly,psi01,200,425.5
Palouse,hourly,psi01,300,592.917
Palouse,hourly,psi02,50,42.875
Palouse,hourly,psi02,100,134.792
Palouse,hourly,psi02,200,334.0
Palouse,hourly,psi02,300,506.375
Palouse,daily,psi01,50,113.0
Palouse,daily,psi01,100,271.0
Palouse,daily,psi01,200,431.0
Palouse,daily,psi01,300,604.0
Palouse,daily,psi02,50,39.0
Palouse,daily,psi02,100,118.0
Palouse,daily,psi02,200,335.0
Palouse,daily,psi02,300,513.0
Palouse,monthly,psi01,50,132.0
Palouse,monthly,psi01,100,286.0
Palouse,monthly,psi01,200,449.0
Palouse,monthly,psi01,300,631.0
Palouse,monthly,psi02,50,52.3314
Palouse,monthly,psi02,100,151.0
Palouse,monthly,psi02,200,355.0
Palouse,monthly,psi02,300,537.0
Pullman,hourly,psi01,50,215.667
Pullman,hourly,psi01,100,302.042
Pullman,hourly,psi01,200,663.792
Pullman,hourly,psi01,300,1018.17
Pullman,hourly,psi02,50,38.292
Pullman,hourly,psi02,100,246.125
Pullman,hourly,psi02,200,408.042
Pullman,hourly,psi02,300,750.417
Pullman,daily,psi01,50,215.0
Pullman,daily,psi01,100,309.0
Pullman,daily,psi01,200,676.0
Pullman,daily,psi01,300,1040.5
Pullman,daily,psi02,50,37.0
Pullman,daily,psi02,100,243.0
Pullman,daily,psi02,200,422.0
Pullman,daily,psi02,300,785.0
Pullman,monthly,psi01,50,230.0
Pullman,monthly,psi01,100,330.0
Pullman,monthly,psi01,200,729.0
Pullman,monthly,psi01,300,1154.0
Pullman,monthly,psi02,50,60.927
Pullman,monthly,psi02,100,277.0
Pullman,monthly,psi02,200,648.0
Pullman,monthly,psi02,300,1050.0
Yolo,hourly,psi01,50,30.542
Yolo,hourly,psi01,100,130.75
Yolo,hourly,psi01,200,301.542
Yolo,hourly,psi01,300,474.458
Yolo,hourly,psi02,50,15.208
Yolo,hourly,psi02,100,86.875
Yolo,hourly,psi02,200,210.917
Yolo,hourly,psi02,300,361.125
Yolo,daily,psi01,50,32.3056
Yolo,daily,psi01,100,132.0
Yolo,daily,psi01,200,307.0
Yolo,daily,psi01,300,481.0
Yolo,daily,psi02,50,15.0
Yolo,daily,psi02,100,30.5
Yolo,daily,psi02,200,213.0
Yolo,daily,psi02,300,367.0
Yolo,monthly,psi01,50,36.0
Yolo,monthly,psi01,100,138.0
Yolo,monthly,psi01,200,318.0
Yolo,monthly,psi01,300,503.0
Yolo,monthly,psi02,50,7.16331
