site,scenario,tracer,control_plane,peak_time
Palouse,monthly,psi02,300,477.0
Palouse,monthly,psi01,50,78.6297
Palouse,monthly,psi01,100,126.664
Palouse,monthly,psi01,200,348.0
Palouse,monthly,psi01,300,534.0
Pullman,hourly,psi02,50,22.3176
Pullman,hourly,psi02,100,95.208
Pullman,hourly,psi02,200,230.458
Pullman,hourly,psi02,300,570.292
Pullman,hourly,psi01,50,72.5
Pullman,hourly,psi01,100,121.75
Pullman,hourly,psi01,200,464.792
Pullman,hourly,psi01,300,829.458
Pullman,daily,psi02,50,19.0
Pullman,daily,psi02,100,94.5
Pullman,daily,psi02,200,236.0
Pullman,daily,psi02,300,731.0
Pullman,daily,psi01,50,68.531
Pullman,daily,psi01,100,130.0
Pullman,daily,psi01,200,474.0
Pullman,daily,psi01,300,847.0
Pullman,monthly,psi02,50,16.3732
Pullman,monthly,psi02,100,108.0
Pullman,monthly,psi02,200,438.0
Pullman,monthly,psi02,300,833.0
Pullman,monthly,psi01,50,85.0
Pullman,monthly,psi01,100,136.0
Pullman,monthly,psi01,200,517.0
Pullman,monthly,psi01,300,915.0
Yolo,hourly,psi02,50,25.083
Yolo,hourly,psi02,100,97.167
Yolo,hourly,psi02,200,200.542
Yolo,hourly,psi02,300,399.583
Yolo,hourly,psi01,50,77.542
Yolo,hourly,psi01,100,117.583
Yolo,hourly,psi01,200,266.542
Yolo,hourly,psi01,300,465.083
Yolo,daily,psi02,50,24.7144
Yolo,daily,psi02,100,97.0
Yolo,daily,psi02,200,226.0
Yolo,daily,psi02,300,408.0
Yolo,daily,psi01,50,77.6876
Yolo,daily,psi01,100,124.0
Yolo,daily,psi01,200,271.0
Yolo,daily,psi01,300,475.147
Yolo,monthly,psi02,50,20.6735
Yolo,monthly,psi02,100,98.7846
Yolo,monthly,psi02,200,260.0
Yolo,monthly,psi02,300,447.0
Yolo,monthly,psi01,50,75.6368
Yolo,monthly,psi01,100,135.336
Yolo,monthly,psi01,200,283.0
Yolo,monthly,psi01,300,506.0
