site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi02,50,19.292
Cecil,hourly,psi02,100,99.958
Cecil,hourly,psi02,200,251.292
Cecil,hourly,psi02,300,432.417
Cecil,hourly,psi01,50,42.625
Cecil,hourly,psi01,100,157.833
Cecil,hourly,psi01,200,341.083
Cecil,hourly,psi01,300,507.0
Cecil,daily,psi02,50,19.3368
Cecil,daily,psi02,100,98.6062
Cecil,daily,psi02,200,247.0
Cecil,daily,psi02,300,437.0
Cecil,daily,psi01,50,53.0
Cecil,daily,psi01,100,181.0
Cecil,daily,psi01,200,352.0
Cecil,daily,psi01,300,560.0
Cecil,monthly,psi02,50,37.0
Cecil,monthly,psi02,100,139.0
Cecil,monthly,psi02,200,308.0
Cecil,monthly,psi02,300,501.0
Cecil,monthly,psi01,50,71.0
Cecil,monthly,psi01,100,204.0
Cecil,monthly,psi01,200,388.0
Cecil,monthly,psi01,300,642.0
Flanagan,hourly,psi02,50,14.3916
Flanagan,hourly,psi02,100,76.958
Flanagan,hourly,psi02,200,227.417
Flanagan,hourly,psi02,300,424.083
Flanagan,hourly,psi01,50,47.583
Flanagan,hourly,psi01,100,127.125
Flanagan,hourly,psi01,200,300.583
Flanagan,hourly,psi01,300,496.41
Flanagan,daily,psi02,50,14.0
Flanagan,daily,psi02,100,69.0
Flanagan,daily,psi02,200,223.574
Flanagan,daily,psi02,300,426.0
Flanagan,daily,psi01,50,47.0
Flanagan,daily,psi01,100,139.0
Flanagan,daily,psi01,200,311.0
Flanagan,daily,psi01,300,517.0
Flanagan,monthly,psi02,50,43.0
Flanagan,monthly,psi02,100,118.0
Flanagan,monthly,psi02,200,262.0
Flanagan,monthly,psi02,300,480.0
Flanagan,monthly,psi01,50,75.0
Flanagan,monthly,psi01,100,159.0
Flanagan,monthly,psi01,200,336.0
Flanagan,monthly,psi01,300,595.0
HoustonBlack,hourly,psi02,50,23.4483
HoustonBlack,hourly,psi02,100,82.917
HoustonBlack,hourly,psi02,200,367.708
HoustonBlack,hourly,psi02,300,487.625
HoustonBlack,hourly,psi01,50,52.458
HoustonBlack,hourly,psi01,100,217.458
HoustonBlack,hourly,psi01,200,400.5
HoustonBlack,hourly,psi01,300,714.042
HoustonBlack,daily,psi02,50,23.0
HoustonBlack,daily,psi02,100,82.0
HoustonBlack,daily,psi02,200,367.0
HoustonBlack,daily,psi02,300,501.0
HoustonBlack,daily,psi01,50,47.0
HoustonBlack,daily,psi01,100,230.0
HoustonBlack,daily,psi01,200,403.0
HoustonBlack,daily,psi01,300,730.654
HoustonBlack,monthly,psi02,50,22.3657
HoustonBlack,monthly,psi02,100,116.0
HoustonBlack,monthly,psi02,200,397.0
HoustonBlack,monthly,psi02,300,629.0
HoustonBlack,monthly,psi01,50,65.0
HoustonBlack,monthly,psi01,100,260.0
HoustonBlack,monthly,psi01,200,429.0
HoustonBlack,monthly,psi01,300,783.0
Kalamazoo,hourly,psi02,50,20.583
Kalamazoo,hourly,psi02,100,55.417
Kalamazoo,hourly,psi02,200,98.5
Kalamazoo,hourly,psi02,300,117.375
Kalamazoo,hourly,psi01,50,46.75
Kalamazoo,hourly,psi01,100,72.458
Kalamazoo,hourly,psi01,200,112.875
Kalamazoo,hourly,psi01,300,138.417
Kalamazoo,daily,psi02,50,20.0
Kalamazoo,daily,psi02,100,54.0
Kalamazoo,daily,psi02,200,97.0
Kalamazoo,daily,psi02,300,116.0
Kalamazoo,daily,psi01,50,54.0
Kalamazoo,daily,psi01,100,90.0
Kalamazoo,daily,psi01,200,118.0
Kalamazoo,daily,psi01,300,143.0
Kalamazoo,monthly,psi02,50,32.3833
Kalamazoo,monthly,psi02,100,94.0
Kalamazoo,monthly,psi02,200,123.0
Kalamazoo,monthly,psi02,300,148.0
Kalamazoo,monthly,psi01,50,57.3833
Kalamazoo,monthly,psi01,100,107.0
Kalamazoo,monthly,psi01,200,143.0
Kalamazoo,monthly,psi01,300,176.0
Kuma,hourly,psi02,50,22.333
Kuma,hourly,psi02,100,60.0
Kuma,hourly,psi02,200,363.083
Kuma,hourly,psi02,300,489.75
Kuma,hourly,psi01,50,49.333
Kuma,hourly,psi01,100,88.083
Kuma,hourly,psi01,200,419.708
Kuma,hourly,psi01,300,717.042
Kuma,daily,psi02,50,14.0
Kuma,daily,psi02,100,57.0
Kuma,daily,psi02,200,361.0
Kuma,daily,psi02,300,498.0
Kuma,daily,psi01,50,49.0
Kuma,daily,psi01,100,94.0
Kuma,daily,psi01,200,428.0
Kuma,daily,psi01,300,743.0
Kuma,monthly,psi02,50,28.4433
Kuma,monthly,psi02,100,81.0
Kuma,monthly,psi02,200,410.0
Kuma,monthly,psi02,300,612.0
Kuma,monthly,psi01,50,55.0
Kuma,monthly,psi01,100,119.0
Kuma,monthly,psi01,200,461.0
Kuma,monthly,psi01,300,790.0
Palouse,hourly,psi02,50,26.4424
Palouse,hourly,psi02,100,58.8597
Palouse,hourly,psi02,200,174.833
Palouse,hourly,psi02,300,410.375
Palouse,hourly,psi01,50,48.3875
Palouse,hourly,psi01,100,83.042
Palouse,hourly,psi01,200,218.917
Palouse,hourly,psi01,300,448.0
Palouse,daily,psi02,50,26.0
Palouse,daily,psi02,100,49.0
Palouse,daily,psi02,200,175.0
Palouse,daily,psi02,300,414.0
Palouse,daily,psi01,50,46.0
Palouse,daily,psi01,100,92.0
Palouse,daily,psi01,200,227.0
Palouse,daily,psi01,300,457.0
Palouse,monthly,psi02,50,50.1961
Palouse,monthly,psi02,100,83.0
Palouse,monthly,psi02,200,210.0
Palouse,monthly,psi02,300,454.0
Palouse,monthly,psi01,50,72.0
Palouse,monthly,psi01,100,119.0
Palouse,monthly,psi01,200,261.0
Palouse,monthly,psi01,300,489.0
Pullman,hourly,psi02,50,22.399
Pullman,hourly,psi02,100,65.958
Pullman,hourly,psi02,200,336.625
Pullman,hourly,psi02,300,689.0
Pullman,hourly,psi01,50,46.3585
Pullman,hourly,psi01,100,89.375
Pullman,hourly,psi01,200,415.292
Pullman,hourly,psi01,300,785.292
Pullman,daily,psi02,50,15.0
Pullman,daily,psi02,100,64.0
Pullman,daily,psi02,200,340.0
Pullman,daily,psi02,300,736.0
Pullman,daily,psi01,50,46.0
Pullman,daily,psi01,100,91.0
Pullman,daily,psi01,200,430.5
Pullman,daily,psi01,300,808.0
Pullman,monthly,psi02,50,13.9658
Pullman,monthly,psi02,100,94.0
Pullman,monthly,psi02,200,370.0
Pullman,monthly,psi02,300,800.0
Pullman,monthly,psi01,50,50.2242
Pullman,monthly,psi01,100,118.0
Pullman,monthly,psi01,200,464.0
Pullman,monthly,psi01,300,884.0
Yolo,hourly,psi02,50,15.833
Yolo,hourly,psi02,100,55.25
Yolo,hourly,psi02,200,281.25
Yolo,hourly,psi02,300,461.167
Yolo,hourly,psi01,50,35.542
Yolo,hourly,psi01,100,76.333
Yolo,hourly,psi01,200,398.417
Yolo,hourly,psi01,300,594.0
Yolo,daily,psi02,50,15.647
Yolo,daily,psi02,100,46.9864
Yolo,daily,psi02,200,288.0
Yolo,daily,psi02,300,476.0
Yolo,daily,psi01,50,36.0
Yolo,daily,psi01,100,86.0
Yolo,daily,psi01,200,407.437
Yolo,daily,psi01,300,602.0
Yolo,monthly,psi02,50,8.21769
Yolo,monthly,psi02,100,58.0
Yolo,monthly,psi02,200,310.0
Yolo,monthly,psi02,300,568.0
Yolo,monthly,psi01,50,38.0
Yolo,monthly,psi01,100,100.0
Yolo,monthly,psi01,200,443.0
Yolo,monthly,psi01,300,640.0
