site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi01,50,121.833
Cecil,hourly,psi01,100,194.917
Cecil,hourly,psi01,200,342.583
Cecil,hourly,psi01,300,584.792
Cecil,hourly,psi02,50,48.958
Cecil,hourly,psi02,100,139.917
Cecil,hourly,psi02,200,272.833
Cecil,hourly,psi02,300,416.708
Cecil,daily,psi01,50,121.0
Cecil,daily,psi01,100,196.505
Cecil,daily,psi01,200,355.0
Cecil,daily,psi01,300,595.0
Cecil,daily,psi02,50,44.7573
Cecil,daily,psi02,100,133.337
Cecil,daily,psi02,200,266.94
Cecil,daily,psi02,300,420.0
Cecil,monthly,psi01,50,128.0
Cecil,monthly,psi01,100,239.0
Cecil,monthly,psi01,200,406.0
Cecil,monthly,psi01,300,657.0
Cecil,monthly,psi02,50,31.0
Cecil,monthly,psi02,100,154.0
Cecil,monthly,psi02,200,299.0
Cecil,monthly,psi02,300,473.0
Flanagan,hourly,psi01,50,46.333
Flanagan,hourly,psi01,100,191.708
Flanagan,hourly,psi01,200,311.708
Flanagan,hourly,psi01,300,551.25
Flanagan,hourly,psi02,50,10.25
Flanagan,hourly,psi02,100,37.75
Flanagan,hourly,psi02,200,252.958
Flanagan,hourly,psi02,300,410.083
Flanagan,daily,psi01,50,46.7309
Flanagan,daily,psi01,100,191.0
Flanagan,daily,psi01,200,318.0
Flanagan,daily,psi01,300,564.0
Flanagan,daily,psi02,50,10.0
Flanagan,daily,psi02,100,37.0
Flanagan,daily,psi02,200,252.0
Flanagan,daily,psi02,300,418.0
Flanagan,monthly,psi01,50,62.0
Flanagan,monthly,psi01,100,153.0
Flanagan,monthly,psi01,200,336.0
Flanagan,monthly,psi01,300,578.0
Flanagan,monthly,psi02,50,1e-07
Flanagan,monthly,psi02,100,61.0
Flanagan,monthly,psi02,200,260.0
Flanagan,monthly,psi02,300,428.0
HoustonBlack,hourly,psi01,50,160.917
HoustonBlack,hourly,psi01,100,254.0
HoustonBlack,hourly,psi01,200,686.875
HoustonBlack,hourly,psi01,300,947.375
HoustonBlack,hourly,psi02,50,64.292
HoustonBlack,hourly,psi02,100,211.042
HoustonBlack,hourly,psi02,200,600.792
HoustonBlack,hourly,psi02,300,902.958
HoustonBlack,daily,psi01,50,160.0
HoustonBlack,daily,psi01,100,264.0
HoustonBlack,daily,psi01,200,762.0
HoustonBlack,daily,psi01,300,952.0
HoustonBlack,daily,psi02,50,63.5024
HoustonBlack,daily,psi02,100,210.0
HoustonBlack,daily,psi02,200,605.0
HoustonBlack,daily,psi02,300,911.593
HoustonBlack,monthly,psi01,50,131.0
HoustonBlack,monthly,psi01,100,290.0
HoustonBlack,monthly,psi01,200,827.0
HoustonBlack,monthly,psi01,300,993.0
HoustonBlack,monthly,psi02,50,12.3207
HoustonBlack,monthly,psi02,100,189.0
HoustonBlack,monthly,psi02,200,640.0
HoustonBlack,monthly,psi02,300,948.0
Kalamazoo,hourly,psi01,50,23.917
Kalamazoo,hourly,psi01,100,56.792
Kalamazoo,hourly,psi01,200,196.875
Kalamazoo,hourly,psi01,300,245.167
Kalamazoo,hourly,psi02,50,1.458
Kalamazoo,hourly,psi02,100,36.875
