site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi01,50,71.917
Cecil,hourly,psi01,100,160.917
Cecil,hourly,psi01,200,300.375
Cecil,hourly,psi01,300,390.333
Cecil,hourly,psi02,50,43.625
Cecil,hourly,psi02,100,44.917
Cecil,hourly,psi02,200,220.75
Cecil,hourly,psi02,300,339.208
Cecil,daily,psi01,50,71.4098
Cecil,daily,psi01,100,161.5
Cecil,daily,psi01,200,305.0
Cecil,daily,psi01,300,392.0
Cecil,daily,psi02,50,43.0
Cecil,daily,psi02,100,44.26
Cecil,daily,psi02,200,220.0
Cecil,daily,psi02,300,342.0
Cecil,monthly,psi01,50,81.0
Cecil,monthly,psi01,100,196.0
Cecil,monthly,psi01,200,345.0
Cecil,monthly,psi01,300,435.0
Cecil,monthly,psi02,50,35.0
Cecil,monthly,psi02,100,42.0
Cecil,monthly,psi02,200,271.0
Cecil,monthly,psi02,300,375.0
Flanagan,hourly,psi01,50,74.792
Flanagan,hourly,psi01,100,145.958
Flanagan,hourly,psi01,200,315.417
Flanagan,hourly,psi01,300,515.917
Flanagan,hourly,psi02,50,25.333
Flanagan,hourly,psi02,100,26.708
Flanagan,hourly,psi02,200,219.875
Flanagan,hourly,psi02,300,384.792
Flanagan,daily,psi01,50,77.0
Flanagan,daily,psi01,100,146.0
Flanagan,daily,psi01,200,321.0
Flanagan,daily,psi01,300,521.0
Flanagan,daily,psi02,50,26.0
Flanagan,daily,psi02,100,26.0
Flanagan,daily,psi02,200,217.0
Flanagan,daily,psi02,300,387.0
Flanagan,monthly,psi01,50,87.0
Flanagan,monthly,psi01,100,163.0
Flanagan,monthly,psi01,200,346.0
Flanagan,monthly,psi01,300,550.0
Flanagan,monthly,psi02,50,31.0
Flanagan,monthly,psi02,100,33.0
Flanagan,monthly,psi02,200,252.0
Flanagan,monthly,psi02,300,425.0
HoustonBlack,hourly,psi01,50,115.0
HoustonBlack,hourly,psi01,100,209.042
HoustonBlack,hourly,psi01,200,426.917
HoustonBlack,hourly,psi01,300,740.125
HoustonBlack,hourly,psi02,50,86.708
HoustonBlack,hourly,psi02,100,164.875
HoustonBlack,hourly,psi02,200,301.542
HoustonBlack,hourly,psi02,300,586.792
HoustonBlack,daily,psi01,50,118.0
HoustonBlack,daily,psi01,100,211.441
HoustonBlack,daily,psi01,200,460.0
HoustonBlack,daily,psi01,300,785.0
