site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi01,50,139.482
Cecil,hourly,psi01,100,229.792
Cecil,hourly,psi01,200,395.208
Cecil,hourly,psi01,300,577.833
Cecil,hourly,psi02,50,13.875
Cecil,hourly,psi02,100,166.625
Cecil,hourly,psi02,200,344.417
Cecil,hourly,psi02,300,505.833
Cecil,daily,psi01,50,139.0
Cecil,daily,psi01,100,235.0
Cecil,daily,psi01,200,408.0
Cecil,daily,psi01,300,591.0
Cecil,daily,psi02,50,14.0
Cecil,daily,psi02,100,166.0
Cecil,daily,psi02,200,343.0
Cecil,daily,psi02,300,508.0
Cecil,monthly,psi01,50,133.0
Cecil,monthly,psi01,100,264.0
Cecil,monthly,psi01,200,459.0
Cecil,monthly,psi01,300,698.0
Cecil,monthly,psi02,50,17.1636
Cecil,monthly,psi02,100,190.0
Cecil,monthly,psi02,200,371.0
Cecil,monthly,psi02,300,557.0
Flanagan,hourly,psi01,50,91.417
Flanagan,hourly,psi01,100,187.958
Flanagan,hourly,psi01,200,348.083
Flanagan,hourly,psi01,300,549.458
Flanagan,hourly,psi02,50,43.75
Flanagan,hourly,psi02,100,47.083
Flanagan,hourly,psi02,200,260.25
Flanagan,hourly,psi02,300,418.625
Flanagan,daily,psi01,50,94.0
Flanagan,daily,psi01,100,187.0
Flanagan,daily,psi01,200,352.0
Flanagan,daily,psi01,300,555.736
Flanagan,daily,psi02,50,26.0
Flanagan,daily,psi02,100,47.0
Flanagan,daily,psi02,200,260.0
Flanagan,daily,psi02,300,423.0
Flanagan,monthly,psi01,50,84.0
Flanagan,monthly,psi01,100,203.0
Flanagan,monthly,psi01,200,367.0
Flanagan,monthly,psi01,300,576.0
Flanagan,monthly,psi02,50,1e-07
Flanagan,monthly,psi02,100,61.0
Flanagan,monthly,psi02,200,278.0
Flanagan,monthly,psi02,300,439.0
HoustonBlack,hourly,psi01,50,147.446
HoustonBlack,hourly,psi01,100,218.542
HoustonBlack,hourly,psi01,200,505.833
HoustonBlack,hourly,psi01,300,736.875
HoustonBlack,hourly,psi02,50,84.542
HoustonBlack,hourly,psi02,100,177.083
HoustonBlack,hourly,psi02,200,470.542
HoustonBlack,hourly,psi02,300,573.417
HoustonBlack,daily,psi01,50,147.0
HoustonBlack,daily,psi01,100,222.0
HoustonBlack,daily,psi01,200,514.0
HoustonBlack,daily,psi01,300,782.655
HoustonBlack,daily,psi02,50,65.8043
HoustonBlack,daily,psi02,100,176.0
HoustonBlack,daily,psi02,200,471.269
HoustonBlack,daily,psi02,300,583.0
HoustonBlack,monthly,psi01,50,165.0
HoustonBlack,monthly,psi01,100,332.0
HoustonBlack,monthly,psi01,200,540.0
HoustonBlack,monthly,psi01,300,881.0
HoustonBlack,monthly,psi02,50,71.0
HoustonBlack,monthly,psi02,100,213.0
HoustonBlack,monthly,psi02,200,508.0
HoustonBlack,monthly,psi02,300,670.0
Kalamazoo,hourly,psi01,50,49.0
Kalamazoo,hourly,psi01,100,113.583
Kalamazoo,hourly,psi01,200,182.458
Kalamazoo,hourly,psi01,300,212.75
Kalamazoo,hourly,psi02,50,1e-07
Kalamazoo,hourly,psi02,100,48.875
Kalamazoo,hourly,psi02,200,119.167
Kalamazoo,hourly,psi02,300,165.167
Kalamazoo,daily,psi01,50,49.0
Kalamazoo,daily,psi01,100,113.827
Kalamazoo,daily,psi01,200,184.0
Kalamazoo,daily,psi01,300,221.654
Kalamazoo,daily,psi02,50,0.1093
Kalamazoo,daily,psi02,100,48.7274
Kalamazoo,daily,psi02,200,119.238
Kalamazoo,daily,psi02,300,167.0
Kalamazoo,monthly,psi01,50,24.0431
Kalamazoo,monthly,psi01,100,106.0
Kalamazoo,monthly,psi01,200,176.0
Kalamazoo,monthly,psi01,300,229.0
Kalamazoo,monthly,psi02,50,2.32094
Kalamazoo,monthly,psi02,100,1.19527
Kalamazoo,monthly,psi02,200,117.0
Kalamazoo,monthly,psi02,300,158.0
Kuma,hourly,psi01,50,146.333
Kuma,hourly,psi01,100,192.333
Kuma,hourly,psi01,200,523.958
Kuma,hourly,psi01,300,665.083
Kuma,hourly,psi02,50,84.625
