site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi01,50,95.167
Cecil,hourly,psi01,100,169.208
Cecil,hourly,psi01,200,430.333
Cecil,hourly,psi01,300,571.167
Cecil,hourly,psi02,50,8.917
Cecil,hourly,psi02,100,128.0
Cecil,hourly,psi02,200,354.542
Cecil,hourly,psi02,300,521.333
Cecil,daily,psi01,50,84.0
Cecil,daily,psi01,100,171.0
Cecil,daily,psi01,200,434.0
Cecil,daily,psi01,300,580.0
Cecil,daily,psi02,50,8.42722
Cecil,daily,psi02,100,128.0
Cecil,daily,psi02,200,346.0
Cecil,daily,psi02,300,529.0
Cecil,monthly,psi01,50,46.2876
Cecil,monthly,psi01,100,205.0
Cecil,monthly,psi01,200,454.0
Cecil,monthly,psi01,300,607.0
Cecil,monthly,psi02,50,0.499624
Cecil,monthly,psi02,100,76.0
Cecil,monthly,psi02,200,345.0
Cecil,monthly,psi02,300,546.0
Flanagan,hourly,psi01,50,90.375
Flanagan,hourly,psi01,100,176.875
Flanagan,hourly,psi01,200,372.792
Flanagan,hourly,psi01,300,493.958
Flanagan,hourly,psi02,50,41.458
Flanagan,hourly,psi02,100,119.417
Flanagan,hourly,psi02,200,263.875
Flanagan,hourly,psi02,300,427.208
Flanagan,daily,psi01,50,88.0
Flanagan,daily,psi01,100,182.0
Flanagan,daily,psi01,200,380.0
Flanagan,daily,psi01,300,503.0
Flanagan,daily,psi02,50,41.2405
Flanagan,daily,psi02,100,119.0
Flanagan,daily,psi02,200,257.0
Flanagan,daily,psi02,300,428.0
Flanagan,monthly,psi01,50,118.0
Flanagan,monthly,psi01,100,220.0
Flanagan,monthly,psi01,200,417.0
Flanagan,monthly,psi01,300,557.0
Flanagan,monthly,psi02,50,70.0
Flanagan,monthly,psi02,100,152.0
Flanagan,monthly,psi02,200,315.0
Flanagan,monthly,psi02,300,474.0
HoustonBlack,hourly,psi01,50,92.25
HoustonBlack,hourly,psi01,100,163.292
HoustonBlack,hourly,psi01,200,416.208
HoustonBlack,hourly,psi01,300,591.875
HoustonBlack,hourly,psi02,50,25.875
HoustonBlack,hourly,psi02,100,118.042
HoustonBlack,hourly,psi02,200,273.042
HoustonBlack,hourly,psi02,300,531.208
HoustonBlack,daily,psi01,50,92.0
HoustonBlack,daily,psi01,100,163.0
HoustonBlack,daily,psi01,200,431.0
HoustonBlack,daily,psi01,300,598.0
HoustonBlack,daily,psi02,50,21.0
HoustonBlack,daily,psi02,100,117.0
HoustonBlack,daily,psi02,200,273.0
HoustonBlack,daily,psi02,300,540.0
HoustonBlack,monthly,psi01,50,88.0
HoustonBlack,monthly,psi01,100,180.0
HoustonBlack,monthly,psi01,200,469.0
HoustonBlack,monthly,psi01,300,653.0
HoustonBlack,monthly,psi02,50,10.2879
HoustonBlack,monthly,psi02,100,134.0
HoustonBlack,monthly,psi02,200,308.0
HoustonBlack,monthly,psi02,300,591.0
Kalamazoo,hourly,psi01,50,42.75
Kalamazoo,hourly,psi01,100,97.917
Kalamazoo,hourly,psi01,200,162.542
Kalamazoo,hourly,psi01,300,208.583
Kalamazoo,hourly,psi02,50,19.583
Kalamazoo,hourly,psi02,100,58.958
Kalamazoo,hourly,psi02,200,121.792
Kalamazoo,hourly,psi02,300,159.833
Kalamazoo,daily,psi01,50,45.4255
Kalamazoo,daily,psi01,100,105.0
Kalamazoo,daily,psi01,200,166.0
Kalamazoo,daily,psi01,300,211.0
Kalamazoo,daily,psi02,50,19.0
Kalamazoo,daily,psi02,100,55.5053
Kalamazoo,daily,psi02,200,117.0
Kalamazoo,daily,psi02,300,159.0
Kalamazoo,monthly,psi01,50,71.0
Kalamazoo,monthly,psi01,100,145.0
Kalamazoo,monthly,psi01,200,211.0
Kalamazoo,monthly,psi01,300,243.0
Kalamazoo,monthly,psi02,50,44.2567
Kalamazoo,monthly,psi02,100,83.0
Kalamazoo,monthly,psi02,200,168.0
Kalamazoo,monthly,psi02,300,204.0
Kuma,hourly,psi01,50,46.167
Kuma,hourly,psi01,100,114.0
Kuma,hourly,psi01,200,453.917
Kuma,hourly,psi01,300,561.542
Kuma,hourly,psi02,50,21.083
Kuma,hourly,psi02,100,65.875
Kuma,hourly,psi02,200,175.042
Kuma,hourly,psi02,300,504.292
Kuma,daily,psi01,50,46.6165
Kuma,daily,psi01,100,120.0
Kuma,daily,psi01,200,462.5
Kuma,daily,psi01,300,610.0
Kuma,daily,psi02,50,21.0
Kuma,daily,psi02,100,21.0
Kuma,daily,psi02,200,176.0
Kuma,daily,psi02,300,511.0
Kuma,monthly,psi01,50,75.0
Kuma,monthly,psi01,100,147.0
Kuma,monthly,psi01,200,497.0
Kuma,monthly,psi01,300,817.0
Kuma,monthly,psi02,50,31.0
Kuma,monthly,psi02,100,33.0
Kuma,monthly,psi02,200,220.0
Kuma,monthly,psi02,300,552.0
Palouse,hourly,psi01,50,95.333
Palouse,hourly,psi01,100,141.75
Palouse,hourly,psi01,200,289.125
Palouse,hourly,psi01,300,490.333
Palouse,hourly,psi02,50,38.0
Palouse,hourly,psi02,100,112.581
Palouse,hourly,psi02,200,244.167
