log10_input_na+1,log10_input_h4sio4,log10_input_al+3,input_ca+2_mol_l,input_mg+2_mol_l,input_na+1_mol_l,input_k+1_mol_l,si_quartz,si_k-feld-d-ph,total_base_cations_mol_l,base_cation_log_resdual,alkalinity,ionic_strength
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,0.0376160792411705,0.013593033233338946,0.0018299999999999994,0.011543338429563297,0.927,0.595,0.064582,1.3011510571095526,0.00012846,0.15747
-2.792299888474962,-3.1655792963184672,-9.169411331314855,0.0292328777406992,0.01056366018605542,0.0016132441967903384,0.01017607854266661,0.923,0.545,0.0515862,1.2035731043917708,0.00012021,0.1248
-2.7375489102695707,-3.2288908822448366,-9.169411331314855,0.0376160792411705,0.013593033233338946,0.0018299999999999994,0.011543338429563297,0.864,0.405,0.064582,1.3011510571095526,0.00012846,0.15747
-2.7375489102695707,-3.1655792963184672,-9.352799557941152,0.0376160792411705,0.013593033233338946,0.0018299999999999994,0.011543338429563297,0.927,0.411,0.064582,1.3011510571095526,0.00012846,0.15747
-3.289051066241962,-3.5056705827324266,-9.193603516013871,0.002967353007587846,0.00107228953311655,0.0005139832116382551,0.0032421213983902936,0.571,-0.92,0.00779578,0.38289914147923165,8.4177e-05,0.015717
-3.354832087566801,-3.5056705827324266,-9.193603516013871,0.0021918315400725557,0.0007920453052820515,0.0004417412059207213,0.002786430731271201,0.57,-0.977,0.00621199,0.28427031475717424,8.2196e-05,0.012083
-3.289051066241962,-3.5757839943870753,-9.193603516013871,0.002967353007587846,0.00107228953311655,0.0005139832116382551,0.0032421213983902936,0.501,-1.13,0.00779578,0.38289914147923165,8.4177e-05,0.015717
-3.289051066241962,-3.5056705827324266,-9.377475586334148,0.002967353007587846,0.00107228953311655,0.0005139832116382551,0.0032421213983902936,0.571,-1.103,0.00779578,0.38289914147923165,8.4177e-05,0.015717
-3.494642348791351,-3.758797678799466,-8.411211266286577,0.0011512950823382682,0.0004160346487806051,0.00032015305563080676,0.0020194727160684203,0.317,-1.078,0.00390698,0.08288075488124155,7.9018e-05,0.0070072
-3.5645351957671783,-3.758797678799466,-8.411211266286577,0.0008344512232838378,0.00030153922042154313,0.000272561684258501,0.0017192741881571875,0.316,-1.141,0.0031278499999999997,-0.013714515430540843,7.7832e-05,0.0053791
-3.494642348791351,-3.8339736323754554,-8.411211266286577,0.0011512950823382682,0.0004160346487806051,0.00032015305563080676,0.0020194727160684203,0.241,-1.304,0.00390698,0.08288075488124155,7.9018e-05,0.0070072
-3.494642348791351,-3.758797678799466,-8.579435491612308,0.0011512950823382682,0.0004160346487806051,0.00032015305563080676,0.0020194727160684203,0.317,-1.246,0.00390698,0.08288075488124155,7.9018e-05,0.0070072
-3.5482485157576877,-4.02313401182178,-7.502115051823943,0.0008994443865179328,0.0003250252999280416,0.00028297722555729215,0.0017849737062659524,0.052,-1.011,0.0032924499999999997,0.008558755198258054,7.8088e-05,0.0057181
-3.6192134860728413,-4.02313401182178,-7.502115051823943,0.0006487007126681041,0.0002344159870903604,0.00024031811781972874,0.0015158870845621835,0.052,-1.075,0.00263934,-0.08746509350156188,7.7049e-05,0.0043917
-3.5482485157576877,-4.103596692058216,-7.502115051823943,0.0008994443865179328,0.0003250252999280416,0.00028297722555729215,0.0017849737062659524,-0.028,-1.252,0.0032924499999999997,0.008558755198258054,7.8088e-05,0.0057181
-3.5482485157576877,-4.02313401182178,-7.6521573528604225,0.0008994443865179328,0.0003250252999280416,0.00028297722555729215,0.0017849737062659524,0.052,-1.161,0.0032924499999999997,0.008558755198258054,7.8088e-05,0.0057181
-3.5543697201295172,-4.073708382962975,-7.334477736279755,0.0008744438082183546,0.0003159910332385214,0.00027901675266267056,0.0017599916959032589,0.001,-1.0,0.00322945,0.00016813178452203796,7.7991e-05,0.005588
-3.6254571145321077,-4.073708382962975,-7.334477736279755,0.0006303142390639353,0.00022777180854259107,0.0002368879040973757,0.0014942498616753786,0.001,-1.065,0.00258917,-0.09579986685250912,7.6966e-05,0.004292
-3.5543697201295172,-4.155182550622235,-7.334477736279755,0.0008744438082183546,0.0003159910332385214,0.00027901675266267056,0.0017599916959032589,-0.08,-1.245,0.00322945,0.00016813178452203796,7.7991e-05,0.005588
-3.5543697201295172,-4.073708382962975,-7.481167291005351,0.0008744438082183546,0.0003159910332385214,0.00027901675266267056,0.0017599916959032589,0.001,-1.147,0.00322945,0.00016813178452203796,7.7991e-05,0.005588
-3.554494255829216,-4.0747137119309045,-7.331347377024019,0.0008739424513987537,0.00031580986178078113,0.00027893675495041623,0.0017594870835173887,0.0,-1.0,0.0032281899999999997,-1.3453167541782764e-06,7.7989e-05,0.0055854
-3.6255841409458003,-4.0747137119309045,-7.331347377024019,0.0006299456267670198,0.00022763860595201632,0.00023681862709308684,0.0014938128737486615,0.0,-1.065,0.00258821,-0.09596092233130543,7.6965e-05,0.0042901
-3.554494255829216,-4.156207986169522,-7.331347377024019,0.0008739424513987537,0.00031580986178078113,0.00027893675495041623,0.0017594870835173887,-0.081,-1.245,0.0032281899999999997,-1.3453167541782764e-06,7.7989e-05,0.0055854
-3.554494255829216,-4.0747137119309045,-7.477974324564499,0.0008739424513987537,0.00031580986178078113,0.00027893675495041623,0.0017594870835173887,0.0,-1.147,0.0032281899999999997,-1.3453167541782764e-06,7.7989e-05,0.0055854
