time,q_50cm_m.d,psi01_conc_50cm_mol.L,psi01_flux_50cm_mol.m2.d,psi02_conc_50cm_mol.L,psi02_flux_50cm_mol.m2.d,psi03_conc_50cm_mol.L,psi03_flux_50cm_mol.m2.d,q_100cm_m.d,psi01_conc_100cm_mol.L,psi01_flux_100cm_mol.m2.d,psi02_conc_100cm_mol.L,psi02_flux_100cm_mol.m2.d,psi03_conc_100cm_mol.L,psi03_flux_100cm_mol.m2.d,q_200cm_m.d,psi01_conc_200cm_mol.L,psi01_flux_200cm_mol.m2.d,psi02_conc_200cm_mol.L,psi02_flux_200cm_mol.m2.d,psi03_conc_200cm_mol.L,psi03_flux_200cm_mol.m2.d,q_300cm_m.d,psi01_conc_300cm_mol.L,psi01_flux_300cm_mol.m2.d,psi02_conc_300cm_mol.L,psi02_flux_300cm_mol.m2.d,psi03_conc_300cm_mol.L,psi03_flux_300cm_mol.m2.d,psi01_cumulative_50cm_mol.m2,psi02_cumulative_50cm_mol.m2,psi03_cumulative_50cm_mol.m2,psi01_cumulative_100cm_mol.m2,psi02_cumulative_100cm_mol.m2,psi03_cumulative_100cm_mol.m2,psi01_cumulative_200cm_mol.m2,psi02_cumulative_200cm_mol.m2,psi03_cumulative_200cm_mol.m2,psi01_cumulative_300cm_mol.m2,psi02_cumulative_300cm_mol.m2,psi03_cumulative_300cm_mol.m2
2367.8,5.396796912842966e-09,0.00101027,-5.452222017137863e-09,0.00101027,-5.452222017137863e-09,0.00818872,-4.4192858816135454e-08,-4.224341578717941e-09,0.00114633,4.842489481931737e-09,0.00114633,4.842489481931737e-09,0.0182243,7.698566823302936e-08,-5.323147575292821e-09,0.00142623,7.59203276630988e-09,0.00142623,7.59203276630988e-09,0.0161352,8.589005075686472e-08,-4.915963877499366e-09,0.00117613,5.78181259524333e-09,0.00117613,5.78181259524333e-09,0.0101683,4.998699549557681e-08,0.0001262482327067402,9.523116787009347e-05,0.0006105789667761047,0.00012831248969614453,0.0002960630088685801,0.0005909729793360776,0.00012687106968644718,0.0002946198089355652,0.0005401131084302945,0.0001260809665833867,0.000293831754624076,0.00047554510183568384
2368.0,6.498876525702359e-09,0.0010103,-6.565814953917093e-09,0.0010103,-6.565814953917093e-09,0.00818839,-5.321533555429594e-08,-3.576380652930569e-09,0.00114617,4.09914021296943e-09,0.00114617,4.09914021296943e-09,0.018218,6.515450273508911e-08,-5.292977634955181e-09,0.00142639,7.54985036872372e-09,0.00142639,7.54985036872372e-09,0.0161277,8.536355540326667e-08,-4.979374847984827e-09,0.001176,5.855744821230156e-09,0.001176,5.855744821230156e-09,0.010168,5.063028345430972e-08,0.00012624821931905454,9.523115448240783e-05,0.000610569623484299,0.00012831259424805652,0.0002960631134204921,0.000590985294960494,0.00012687152106099394,0.00029462026031011195,0.0005401291225458481,0.00012608114185738134,0.00029383192989807064,0.00047555423201740507
2368.38,9.45557377564225e-09,0.00101037,-9.55362807569566e-09,0.00101037,-9.55362807569566e-09,0.00818741,-7.74166592864311e-08,-2.276000800052302e-09,0.00114597,2.608228636835937e-09,0.00114597,2.608228636835937e-09,0.0182106,4.1447340169432453e-08,-5.1235510940533e-09,0.00142667,7.3096166393530225e-09,0.00142667,7.3096166393530225e-09,0.016114,8.256090232957488e-08,-5.032193845938554e-09,0.00117575,5.916601914362254e-09,0.00117575,5.916601914362254e-09,0.0101675,5.116483092858024e-08,0.0001262481820584205,9.523111722177382e-05,0.0006105437982718048,0.0001283127204946345,0.00029606323966707005,0.0005910001800694544,0.00012687235176590114,0.00029462109101501915,0.0005401585487393177,0.00012608147793244734,0.00029383226597313664,0.00047557176241949645
2369.0,1.3658864070674429e-08,0.00101046,-1.3801735788853682e-08,0.00101046,-1.3801735788853682e-08,0.00818546,-1.1180408549594272e-07,2.9829907812315595e-12,0.00115467,-3.444369965364645e-12,0.00115467,-3.444369965364645e-12,0.0185282,-5.5269449792814585e-11,-4.564471823212226e-09,0.00142708,6.513866449469704e-09,0.00142708,6.513866449469704e-09,0.0160943,7.346197886432453e-08,-4.903395509937292e-09,0.00117537,5.763303980514995e-09,0.00117537,5.763303980514995e-09,0.0101665,4.985037045177748e-08,0.00012624809347795522,9.523102864130855e-05,0.0006104829482345211,0.0001283127202085794,0.00029606323938101496,0.0005910001476518498,0.00012687356039056943,0.00029462229963968744,0.0005402012651936831,0.0001260820110756991,0.0002938327991163884,0.00047559962954396036
2370.0,-2.66779715892983e-08,0.0010108,2.6966093682462725e-08,0.0010108,2.6966093682462725e-08,0.00831222,2.2175316900399711e-07,-5.1085603409017884e-09,0.00114488,5.84868856309164e-09,0.00114488,5.84868856309164e-09,0.0181654,9.279904201661736e-08,-4.335151431638601e-09,0.00142771,6.189339050464747e-09,0.00142771,6.189339050464747e-09,0.016064,6.963987259784249e-08,-4.6450560138048165e-09,0.00117478,5.456918903897623e-09,0.00117478,5.456918903897623e-09,0.010165,4.721699438032596e-08,0.00012624838160004838,9.52313167634017e-05,0.0006106780234319359,0.0001283134603368016,0.0002960639795092371,0.0005910878381335255,0.00012687541457818825,0.00029462415382730626,0.0005402665699148493,0.0001260828229385892,0.00029383361097927847,0.0004756422014823269
2370.53,-1.6835344947426123e-08,0.00101096,1.7019860328049916e-08,0.00101096,1.7019860328049916e-08,0.00834258,1.4045021205149822e-07,-7.258338889415043e-09,0.00114408,8.304120356601962e-09,0.00114408,8.304120356601962e-09,0.0181315,1.3160457157342884e-07,-4.482867225079808e-09,0.00142805,6.40175854077522e-09,0.00142805,6.40175854077522e-09,0.0160473,7.19379152210232e-08,-4.580496999383261e-09,0.00117447,5.379656310865658e-09,0.00117447,5.379656310865658e-09,0.0101642,4.655708760113134e-08,0.0001262484793932001,9.523141455655344e-05,0.000610743539311501,0.0001283140146009792,0.00029606453377341475,0.000591153741636848,0.00012687643159058556,0.00029462517083970357,0.0005403023210902872,0.0001260832464930243,0.00029383403453371354,0.0004756644490753458
2371.0,-5.474801225134913e-09,0.00101109,5.53551677072166e-09,0.00101109,5.53551677072166e-09,0.00835152,4.572291192773872e-08,-7.488972026192533e-09,0.00114335,8.562516166147233e-09,0.00114335,8.562516166147233e-09,0.0181005,1.3555413816009796e-07,-4.745447263796197e-09,0.00142837,6.778254508188574e-09,0.00142837,6.778254508188574e-09,0.0160317,7.60775868990015e-08,-4.608044311985837e-09,0.0011742,5.410765631133771e-09,0.0011742,5.410765631133771e-09,0.0101635,4.683385836486806e-08,0.00012624850792950653,9.523144309285987e-05,0.0006107624559235313,0.00012831451916672497,0.00029606503833916055,0.000591213932264931,0.00012687738700999042,0.00029462612625910846,0.0005403358471959157,0.0001260836237720443,0.0002938344118127335,0.0004756842952079507
2371.78,-5.459928627772325e-09,0.00101122,5.521189026975931e-09,0.00101122,5.521189026975931e-09,0.00836694,4.5682895232853376e-08,-6.8916661443298565e-09,0.00114219,7.87159215339212e-09,0.00114219,7.87159215339212e-09,0.0180524,1.2441111390390028e-07,-5.163908285334407e-09,0.00142895,7.3789667443286e-09,0.00142895,7.3789667443286e-09,0.0160034,8.264008985352063e-08,-4.812027403281926e-09,0.00117373,5.648020924054095e-09,0.00117373,5.648020924054095e-09,0.0101622,4.890078487763159e-08,0.0001262485557126179,9.523149087597126e-05,0.0006107938298374832,0.00012831528350901205,0.0002960658026814476,0.0005913055974341835,0.00012687911475558843,0.00029462785400470647,0.0005403962786175389,0.0001260842758469905,0.0002938350638876797,0.0004757186844387807
2372.0,-6.201182577189013e-09,0.00101125,6.270945881182389e-09,0.00101125,6.270945881182389e-09,0.0083719,5.1915680417968696e-08,-6.73120522303614e-09,0.00114188,7.686228620080508e-09,0.00114188,7.686228620080508e-09,0.0180392,1.2142555725939352e-07,-5.272754886327048e-09,0.00142912,7.535399463147712e-09,0.00142912,7.535399463147712e-09,0.0159953,8.433929623326702e-08,-4.878482936346863e-09,0.00117359,5.725338789267315e-09,0.00117359,5.725338789267315e-09,0.0101618,4.957416790256955e-08,0.00012624857106054477,9.523150622389814e-05,0.0006108038870270082,0.0001283154936141594,0.00029606601278659496,0.0005913308301916314,0.00012687961253739533,0.00029462835178651334,0.0005404136732566352,0.00012608446215527815,0.00029383525019596735,0.0004757285174894732
2372.41,-2.4612292261643e-09,0.00101134,2.489139565589003e-09,0.00101134,2.489139565589003e-09,0.00837585,2.061488681396825e-08,-6.224111213314346e-09,0.00114134,7.103827092204196e-09,0.00114134,7.103827092204196e-09,0.0180165,1.1213669967467792e-07,-5.420426011663763e-09,0.00142943,7.748119553852533e-09,0.00142943,7.748119553852533e-09,0.0159797,8.661678153858342e-08,-5.014649320878651e-09,0.00117334,5.883888634159756e-09,0.00117334,5.883888634159756e-09,0.0101611,5.095435321438006e-08,0.00012624858250378392,9.52315176671373e-05,0.0006108113300266192,0.00012831585429766974,0.0002960663734701053,0.0005913742543529006,0.00012688056689174763,0.0002946293061408656,0.0005404469637624012,0.0001260848185433966,0.0002938356065840858,0.00047574735276806953
