time,q_50cm_m.d,psi01_conc_50cm_mol.L,psi01_flux_50cm_mol.m2.d,psi02_conc_50cm_mol.L,psi02_flux_50cm_mol.m2.d,psi03_conc_50cm_mol.L,psi03_flux_50cm_mol.m2.d,q_100cm_m.d,psi01_conc_100cm_mol.L,psi01_flux_100cm_mol.m2.d,psi02_conc_100cm_mol.L,psi02_flux_100cm_mol.m2.d,psi03_conc_100cm_mol.L,psi03_flux_100cm_mol.m2.d,q_200cm_m.d,psi01_conc_200cm_mol.L,psi01_flux_200cm_mol.m2.d,psi02_conc_200cm_mol.L,psi02_flux_200cm_mol.m2.d,psi03_conc_200cm_mol.L,psi03_flux_200cm_mol.m2.d,q_300cm_m.d,psi01_conc_300cm_mol.L,psi01_flux_300cm_mol.m2.d,psi02_conc_300cm_mol.L,psi02_flux_300cm_mol.m2.d,psi03_conc_300cm_mol.L,psi03_flux_300cm_mol.m2.d,psi01_cumulative_50cm_mol.m2,psi02_cumulative_50cm_mol.m2,psi03_cumulative_50cm_mol.m2,psi01_cumulative_100cm_mol.m2,psi02_cumulative_100cm_mol.m2,psi03_cumulative_100cm_mol.m2,psi01_cumulative_200cm_mol.m2,psi02_cumulative_200cm_mol.m2,psi03_cumulative_200cm_mol.m2,psi01_cumulative_300cm_mol.m2,psi02_cumulative_300cm_mol.m2,psi03_cumulative_300cm_mol.m2
2393.0,-2.4380532999954983e-08,0.00214561,5.2311115410033414e-08,0.00214561,5.2311115410033414e-08,0.048436,1.1808954963858197e-06,-1.9989016597224342e-08,0.00280713,5.6111768160566377e-08,0.00280713,5.6111768160566377e-08,0.0193158,3.8610384678866594e-07,-1.3104227293997948e-08,0.00250198,3.278651460503699e-08,0.00250198,3.278651460503699e-08,0.00937605,1.228658903198895e-07,-9.417191791379371e-09,0.00277021,2.6087598872397047e-08,0.00277021,2.6087598872397047e-08,0.022015,2.0731947728721687e-07,0.00016241209824297597,0.00011860083768825848,0.0006217982932965506,0.00016317234624336086,0.00033556816164011146,0.0005926528431863844,0.00015947865339190846,0.00033186891557565167,0.0004939389318325907,0.0001513163086038411,0.00032370880890705936,0.00036725733336668475
2394.0,-2.4451291577047656e-08,0.00213284,5.215069272719032e-08,0.00213284,5.215069272719032e-08,0.0504703,1.2340640212810684e-06,-2.0214315899686295e-08,0.00281583,5.692007713981366e-08,0.00281583,5.692007713981366e-08,0.0189485,3.830309648252057e-07,-1.3569268624042225e-08,0.00249437,3.3846776577752207e-08,0.00249437,3.3846776577752207e-08,0.00930669,1.2628497661068753e-07,-9.884582755226373e-09,0.00277543,2.7433967516337933e-08,0.00277543,2.7433967516337933e-08,0.0219211,2.1668092703559283e-07,0.0001624397976441261,0.00011862853708940862,0.0006230079060262546,0.000163209052004601,0.00033560486740135157,0.0005930156598353099,0.00015949893089986216,0.0003318891930836054,0.0004940516475405773,0.00015133385798860223,0.00032372635829182046,0.00036746412971096513
2395.0,-2.4521355499239825e-08,0.00211961,5.1975710329743734e-08,0.00211961,5.1975710329743734e-08,0.0524173,1.2853432476103036e-06,-2.0440266549309246e-08,0.00282382,5.7719633487270435e-08,0.00282382,5.7719633487270435e-08,0.0185813,3.7980672483267985e-07,-1.4026248052199036e-08,0.00248648,3.4875985256831864e-08,0.00248648,3.4875985256831864e-08,0.00923702,1.2956073378312356e-07,-1.0357341208503505e-08,0.00278083,2.8802005152842808e-08,0.00278083,2.8802005152842808e-08,0.0218241,2.2603965026850132e-07,0.0001624672519989566,0.00011865599144423912,0.0006242687279183658,0.00016324633137153896,0.0003356421467682895,0.0005933750262935932,0.0001595197806370668,0.00033191004282081003,0.0004941671820263082,0.00015135230265254658,0.0003237448029557648,0.00036767981202002516
2396.0,-2.4571524461687852e-08,0.0021059,5.174517336386845e-08,0.0021059,5.174517336386845e-08,0.0542652,1.3333786892183836e-06,-2.0648200388581577e-08,0.0028311,5.8457120120113306e-08,0.0028311,5.8457120120113306e-08,0.0182153,3.7611316453812997e-07,-1.4466192122912113e-08,0.00247831,3.585170860013432e-08,0.00247831,3.585170860013432e-08,0.00916727,1.3261548906260852e-07,-1.0834173882767496e-08,0.0027864,3.018834210694335e-08,0.0027864,3.018834210694335e-08,0.0217242,2.3536376026401762e-07,0.0001624944256478588,0.0001186831650931413,0.0006255775350831224,0.0001632841402912705,0.00033567995568802104,0.0005937304912577428,0.00015954116615354402,0.00033193142833728723,0.0004942853313232479,0.00015137165682077076,0.000323764157123989,0.0003679043416064064
2397.0,-2.46457553418178e-08,0.00209166,5.155054061826662e-08,0.00209166,5.155054061826662e-08,0.0560042,1.3802658113142324e-06,-2.0818480814214883e-08,0.00283765,5.907556208245686e-08,0.00283765,5.907556208245686e-08,0.0178512,3.7163486471071275e-07,-1.4896481801446657e-08,0.00246989,3.679267143657509e-08,0.00246989,3.679267143657509e-08,0.00909767,1.3552327559056723e-07,-1.131191898443671e-08,0.00279214,3.158446147320512e-08,0.00279214,3.158446147320512e-08,0.0216217,2.445829187057952e-07,0.00016252133043313525,0.00011871006987841774,0.0006269331551390948,0.00016332239737253874,0.00033571821276928926,0.0005940813076416393,0.00015956306234317914,0.0003319533245269224,0.000494405958117037,0.00015139192936325951,0.0003237844296664778,0.00036813761260612776
2398.0,-2.4703051486854745e-08,0.00207687,5.130502654150401e-08,0.00207687,5.130502654150401e-08,0.0576257,1.4235306340660454e-06,-2.1011944578276237e-08,0.00284348,5.974704416943691e-08,0.00284348,5.974704416943691e-08,0.0174901,3.6750101186850925e-07,-1.5312791316417693e-08,0.00246122,3.768814824379355e-08,0.00246122,3.768814824379355e-08,0.00902847,1.3825107701653766e-07,-1.178904775930843e-08,0.00279804,3.298622719245536e-08,0.00279804,3.298622719245536e-08,0.0215169,2.536637617322636e-07,0.0001625479324081899,0.00011873667185347239,0.000628331982721674,0.00016336113247212991,0.00033575694786888043,0.0005944277967089295,0.0001595854377001065,0.00033197569988384975,0.0004945288964027371,0.00015141312654269267,0.00032380562684591093,0.0003683794873201007
2399.0,-2.474434906723707e-08,0.00206151,5.101072304559989e-08,0.00206151,5.101072304559989e-08,0.0591228,1.462955201032444e-06,-2.1168508189428673e-08,0.0028486,6.030061242840653e-08,0.0028486,6.030061242840653e-08,0.0171326,3.626715834062057e-07,-1.5713999198537387e-08,0.00245231,3.8535597374565224e-08,0.00245231,3.8535597374565224e-08,0.00895988,1.4079554713899116e-07,-1.2263443344526118e-08,0.00280408,3.4387676213518794e-08,0.00280408,3.4387676213518794e-08,0.0214101,2.6256154835063865e-07,0.00016257419878216826,0.00011876293822745075,0.0006297701935736392,0.00016340026457636888,0.0003357960799731194,0.0005947692997841463,0.00015960825929828252,0.00033199852148202576,0.0004946539779506775,0.00015143525077556167,0.0003238277510787799,0.0003686297854251068
2400.0,-2.479250891410273e-08,0.00204556,5.071456453433198e-08,0.00204556,5.071456453433198e-08,0.0604897,1.4996914264613999e-06,-2.1329877239447668e-08,0.00285301,6.085435306291658e-08,0.00285301,6.085435306291658e-08,0.0167796,3.5790680812703606e-07,-1.6103134161531987e-08,0.00244318,3.934285532077172e-08,0.00244318,3.934285532077172e-08,0.00889215,1.4319148443446663e-07,-1.2733445970378779e-08,0.00281024,3.578403920379726e-08,0.00281024,3.578403920379726e-08,0.0213016,2.712427726826206e-07,0.0001626001208377885,0.00011878886028307098,0.0006312450924911865,0.00016343978905219235,0.00033583560444894287,0.0005951058767150339,0.00015963149901944177,0.000332021761203185,0.0004947810663009504,0.00015145830136879508,0.0003238508016720133,0.0003688882947518191
2401.0,-2.4848829229542062e-08,0.002029,5.0418274506740845e-08,0.002029,5.0418274506740845e-08,0.0617219,1.5337169528228723e-06,-2.145488929455532e-08,0.00285673,6.129082589443503e-08,0.00285673,6.129082589443503e-08,0.0164319,3.5254459539920356e-07,-1.647654506978397e-08,0.00243383,4.010110968719232e-08,0.00243383,4.010110968719232e-08,0.0088255,1.4541374851337843e-07,-1.3194401895482826e-08,0.00281652,3.7162296826665286e-08,0.00281652,3.7162296826665286e-08,0.0211918,2.7961312608869294e-07,0.0001626256902830657,0.00011881442972834818,0.0006327539606147798,0.00016347962498879223,0.0003358754403855428,0.0005954369664211385,0.00015965512358405917,0.0003320453857678024,0.000494910003504394,0.00015148226926372626,0.0003238747695669445,0.0003691547134760123
2402.0,-2.4892370831594072e-08,0.00201184,5.0079467333834215e-08,0.00201184,5.0079467333834215e-08,0.0628159,1.5636366769203299e-06,-2.1607636851558158e-08,0.00285978,6.1793087715349e-08,0.00285978,6.1793087715349e-08,0.0160901,3.4766903770525593e-07,-1.6835550727344397e-08,0.00242427,4.08139205617792e-08,0.00242427,4.08139205617792e-08,0.00876015,1.47481949704146e-07,-1.365173287695673e-08,0.00282289,3.8537340221032386e-08,0.00282289,3.8537340221032386e-08,0.0210812,2.8779491112570026e-07,0.00016265087737956792,0.00011883961682485043,0.0006342927049208685,0.00016351981043965602,0.00033591562583640657,0.0005957630278219922,0.0001596791019538936,0.00033206936413763687,0.0004950406499033708,0.00015150715487107034,0.00032389965517428857,0.000369428856654261
