time,q_50cm_m.d,psi01_conc_50cm_mol.L,psi01_flux_50cm_mol.m2.d,psi02_conc_50cm_mol.L,psi02_flux_50cm_mol.m2.d,psi03_conc_50cm_mol.L,psi03_flux_50cm_mol.m2.d,q_100cm_m.d,psi01_conc_100cm_mol.L,psi01_flux_100cm_mol.m2.d,psi02_conc_100cm_mol.L,psi02_flux_100cm_mol.m2.d,psi03_conc_100cm_mol.L,psi03_flux_100cm_mol.m2.d,q_200cm_m.d,psi01_conc_200cm_mol.L,psi01_flux_200cm_mol.m2.d,psi02_conc_200cm_mol.L,psi02_flux_200cm_mol.m2.d,psi03_conc_200cm_mol.L,psi03_flux_200cm_mol.m2.d,q_300cm_m.d,psi01_conc_300cm_mol.L,psi01_flux_300cm_mol.m2.d,psi02_conc_300cm_mol.L,psi02_flux_300cm_mol.m2.d,psi03_conc_300cm_mol.L,psi03_flux_300cm_mol.m2.d,psi01_cumulative_50cm_mol.m2,psi02_cumulative_50cm_mol.m2,psi03_cumulative_50cm_mol.m2,psi01_cumulative_100cm_mol.m2,psi02_cumulative_100cm_mol.m2,psi03_cumulative_100cm_mol.m2,psi01_cumulative_200cm_mol.m2,psi02_cumulative_200cm_mol.m2,psi03_cumulative_200cm_mol.m2,psi01_cumulative_300cm_mol.m2,psi02_cumulative_300cm_mol.m2,psi03_cumulative_300cm_mol.m2
1135.0,-1.4350113449948463e-08,0.00135126,1.939073430037736e-08,0.00135126,1.939073430037736e-08,0.0174861,2.5092751879714385e-07,-1.4941147872666896e-08,0.00168623,2.5194211777327097e-08,0.00168623,2.5194211777327097e-08,0.00776825,1.1606657196184462e-07,-1.559935004206058e-08,0.00104606,1.631785610499789e-08,0.00104606,1.631785610499789e-08,0.0109161,1.7028406499413752e-07,-1.582300618749939e-08,0.00164026,2.5953844129107745e-08,0.00164026,2.5953844129107745e-08,0.0113143,1.7902623890722432e-07,0.00013180434506475456,8.951184213870337e-05,0.0002898248117410794,0.00013171852153733317,0.0002881763838411345,0.00027197464027085757,0.0001306865299087486,0.0002871485381704571,0.0002111344891972849,0.0001290587828700815,0.0002855221631054793,0.00015780804184599597
1136.0,-1.4278997564839137e-08,0.00134653,1.9227098590982844e-08,0.00134653,1.9227098590982844e-08,0.0176408,2.518929402418143e-07,-1.4814600253366509e-08,0.00168666,2.4987193663343158e-08,0.00168666,2.4987193663343158e-08,0.00773349,1.1456856291340736e-07,-1.542298805652626e-08,0.00104609,1.6133833576051554e-08,0.00104609,1.6133833576051554e-08,0.0108917,1.6798255901526705e-07,-1.5638400318056398e-08,0.00164125,2.566652452201006e-08,0.00164125,2.566652452201006e-08,0.0112498,1.7592887589807087e-07,0.0001318092931657807,8.951679023972952e-05,0.00029006242568375637,0.00013172869413074313,0.0002881865564345445,0.0002720743942335176,0.00013068724075426813,0.0002871492490159766,0.00021128704876824365,0.00012906881099428543,0.00028553219122968326,0.00015796833232157597
1137.0,-1.4221873206389635e-08,0.00134181,1.9083051687065676e-08,0.00134181,1.9083051687065676e-08,0.0177916,2.5302987933880187e-07,-1.4702131133880635e-08,0.00168703,2.480293628679065e-08,0.00168703,2.480293628679065e-08,0.00769981,1.1320361632596545e-07,-1.5263362391352054e-08,0.00104614,1.5967613932089038e-08,0.00104614,1.5967613932089038e-08,0.0108691,1.658990121678446e-07,-1.546217507518252e-08,0.00164218,2.5391674664963234e-08,0.00164218,2.5391674664963234e-08,0.0111864,1.7296607526102177e-07,0.00013181415434426137,8.95216514182102e-05,0.00029030123368988875,0.00013173879493589603,0.0002881966572396974,0.0002721728957187097,0.00013068794500580887,0.00028714995326751733,0.00021143768441802014,0.0001290787404938752,0.00028554212072927305,0.00015812583622176182
1138.0,-1.4173371821313296e-08,0.00133709,1.8951073728559794e-08,0.00133709,1.8951073728559794e-08,0.0179384,2.5424761307944646e-07,-1.4603326802727706e-08,0.00168735,2.4640923480582593e-08,0.00168735,2.4640923480582593e-08,0.00766719,1.1196648122860584e-07,-1.5115864848044937e-08,0.0010462,1.5814217804024613e-08,0.0010462,1.5814217804024613e-08,0.0108486,1.639859713905003e-07,-1.529834294353341e-08,0.00164304,2.5135789389943135e-08,0.00164304,2.5135789389943135e-08,0.0111243,1.7018335640674872e-07,0.00013181893204616862,8.952642912011745e-05,0.0002905413079311469,0.00013174883253257389,0.0002882066948363753,0.00027227025887313557,0.00013068864335876484,0.0002871506516204733,0.0002115865545245626,0.0001290885779403216,0.0002855519581757195,0.00015828072123522504
1139.0,-1.4128303363729879e-08,0.00133238,1.8824268835766413e-08,0.00133238,1.8824268835766413e-08,0.0180815,2.554609172712818e-07,-1.4514463324950881e-08,0.00168761,2.4494753451820357e-08,0.00168761,2.4494753451820357e-08,0.00763562,1.1082692645326145e-07,-1.4981999629068273e-08,0.00104628,1.5675366571901552e-08,0.00104628,1.5675366571901552e-08,0.0108299,1.6225355778284648e-07,-1.5150894887321114e-08,0.00164385,2.4905798560522812e-08,0.00164385,2.4905798560522812e-08,0.0110633,1.6761889540689968e-07,0.00013182362801164064,8.953112508558949e-05,0.00029078264054505445,0.00013175881282270074,0.00028821667512650217,0.0002723665713362639,0.00013068933672570767,0.00028715134498741616,0.00021173382608271637,0.0001290983328439948,0.00028556171307939267,0.00015843318923574462
1140.0,-1.4091079740606137e-08,0.00132767,1.8708303839210547e-08,0.00132767,1.8708303839210547e-08,0.0182208,2.567507457376363e-07,-1.4431987772965886e-08,0.00168782,2.4358597602967283e-08,0.00168782,2.4358597602967283e-08,0.00760509,1.0975656589230512e-07,-1.48585993658743e-08,0.00104638,1.5547741204463548e-08,0.00104638,1.5547741204463548e-08,0.010813,1.606660349431988e-07,-1.5015783272192526e-08,0.0016446,2.469495716944783e-08,0.0016446,2.469495716944783e-08,0.0110034,1.6522466965724324e-07,0.00013182824523573925,8.95357423096881e-05,0.0002910253002110515,0.00013176873943253074,0.0002882266017363322,0.00027246189591438325,0.00013069002586754626,0.00028715203412925475,0.0002118796335182937,0.00012910801201789204,0.00028557139225328994,0.00015858339812212967
1141.0,-1.4052004748309516e-08,0.00132296,1.8590240201823556e-08,0.00132296,1.8590240201823556e-08,0.0183563,2.5794281476139393e-07,-1.4361980539353272e-08,0.00168798,2.4242735910817535e-08,0.00168798,2.4242735910817535e-08,0.00757559,1.0880047615411925e-07,-1.4748601931061314e-08,0.00104649,1.5434264434836354e-08,0.00104649,1.5434264434836354e-08,0.0107981,1.5925687851179318e-07,-1.488500887983995e-08,0.00164529,2.4490156259911868e-08,0.00164529,2.4490156259911868e-08,0.0109446,1.6291046818629632e-07,0.00013183278347119276,8.954028054514162e-05,0.00029126919102106456,0.0001317786201879022,0.00028823648249170364,0.00027255633440999804,0.00013069071153005003,0.0002871527197917585,0.00021202414179487443,0.0001291176171652721,0.00028558099740067,0.00015873142358143613
1142.0,-1.4019946350681222e-08,0.00131826,1.8481934476249028e-08,0.00131826,1.8481934476249028e-08,0.0184881,2.592021701260295e-07,-1.4297718701281794e-08,0.00168809,2.413583596244678e-08,0.00168809,2.413583596244678e-08,0.00754711,1.0790645578763084e-07,-1.46473000723179e-08,0.00104662,1.533015720168936e-08,0.00104662,1.533015720168936e-08,0.010785,1.5797113127994855e-07,-1.4774508792321594e-08,0.00164593,2.4317807256545883e-08,0.00164593,2.4317807256545883e-08,0.0108868,1.6084712232024675e-07,0.00013183724545931834,8.954474253326718e-05,0.0002915143732448399,0.00013178845830516338,0.0002882463206089648,0.0002726499431470844,0.0001306913943871794,0.00028715340264888787,0.00021216746562608205,0.00012912716046373633,0.00028559054069913424,0.00015887749619496405
1143.0,-1.3990219987250252e-08,0.00131355,1.837685346425257e-08,0.00131355,1.837685346425257e-08,0.0186161,2.604433343046494e-07,-1.4239031158386937e-08,0.00168815,2.403762045003091e-08,0.00168815,2.403762045003091e-08,0.00751966,1.070726730404759e-07,-1.4556219162972282e-08,0.00104676,1.523686797103287e-08,0.00104676,1.523686797103287e-08,0.0107737,1.5682433839611447e-07,-1.4672278451902907e-08,0.00164652,2.4158199916627174e-08,0.00164652,2.4158199916627174e-08,0.01083,1.5890077563410848e-07,0.00013184163209279534,8.954912916674419e-05,0.00029176082635915733,0.00013179825689445504,0.00028825611919825644,0.00027274277678896645,0.00013069207503598748,0.0002871540832976959,0.0002123097337453152,0.00012913664638520105,0.00028560002662059896,0.00015902172469214627
1144.0,-1.3962487023903411e-08,0.00130885,1.827480114123598e-08,0.00130885,1.827480114123598e-08,0.0187405,2.616639880714619e-07,-1.4185385488185268e-08,0.00168816,2.394720036573484e-08,0.00168816,2.394720036573484e-08,0.00749324,1.0629449795548938e-07,-1.4472091883257792e-08,0.00104691,1.5150977713501416e-08,0.00104691,1.5150977713501416e-08,0.0107643,1.5578193865895182e-07,-1.457827562398848e-08,0.00164705,2.4011148866490224e-08,0.00164705,2.4011148866490224e-08,0.0107741,1.5706779940041428e-07,0.00013184594440691268,8.955344148086153e-05,0.0002920085278602049,0.00013180801870933258,0.000288265881013134,0.00027283488590143376,0.00013069275392181773,0.00028715476218352617,0.0002124510435920909,0.00012914607925844354,0.00028560945949384145,0.0001591642142159227
