log10_input_na+1,log10_input_h4sio4,log10_input_al+3,log10_input_co3-2,input_ca+2_mol_l,input_mg+2_mol_l,input_na+1_mol_l,input_k+1_mol_l,si_quartz,si_k-feld-d-ph,si_calcite-ph,total_base_cations_mol_l,base_cation_log_resdual,alkalinity,ionic_strength
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,-5.2839966563652006,0.003972628394796259,0.0013128718667172014,0.0018299999999999994,0.0020044820742231967,0.906,0.087,-2.026,0.00912,0.451034405151464,6.3531e-06,0.019455
-2.792299888474962,-3.1655792963184672,-9.169411331314855,-5.2839966563652006,0.0030872797621928736,0.0010202823777269682,0.0016132441967903384,0.0017670596031753188,0.905,0.042,-2.105,0.0074879,0.3653996026414798,6.3216e-06,0.015547
-2.7375489102695707,-3.2288908822448366,-9.169411331314855,-5.2839966563652006,0.003972628394796259,0.0013128718667172014,0.0018299999999999994,0.0020044820742231967,0.842,-0.103,-2.026,0.00912,0.451034405151464,6.3531e-06,0.019455
-2.7375489102695707,-3.1655792963184672,-9.352799557941152,-5.2839966563652006,0.003972628394796259,0.0013128718667172014,0.0018299999999999994,0.0020044820742231967,0.906,-0.097,-2.026,0.00912,0.451034405151464,6.3531e-06,0.019455
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,-5.389676589492504,0.003972628394796259,0.0013128718667172014,0.0018299999999999994,0.0020044820742231967,0.906,0.087,-2.132,0.00912,0.451034405151464,5.2376e-06,0.019455
-2.6595675953806484,-3.5438721389598786,-9.176255800519105,-4.102806250360091,0.005689060761312465,0.0018801174132862572,0.0021899409501184046,0.0023987417366774094,0.528,-0.993,-0.738,0.0121578,0.5758945616363322,8e-05,0.026855
-2.712758947288261,-3.5438721389598786,-9.176255800519105,-4.102806250360091,0.004453053044030776,0.0014716423187644346,0.0019374970624123928,0.0021222284865933033,0.527,-1.035,-0.81,0.0099844,0.4903615384315218,7.9698e-05,0.021537
-2.6595675953806484,-3.6147495817390762,-9.176255800519105,-4.102806250360091,0.005689060761312465,0.0018801174132862572,0.0021899409501184046,0.0023987417366774094,0.457,-1.205,-0.738,0.0121578,0.5758945616363322,8e-05,0.026855
-2.6595675953806484,-3.5438721389598786,-9.359780916529486,-4.102806250360091,0.005689060761312465,0.0018801174132862572,0.0021899409501184046,0.0023987417366774094,0.528,-1.176,-0.738,0.0121578,0.5758945616363322,8e-05,0.026855
-2.6595675953806484,-3.5438721389598786,-9.176255800519105,-4.184862375367293,0.005689060761312465,0.0018801174132862572,0.0021899409501184046,0.0023987417366774094,0.528,-0.993,-0.82,0.0121578,0.5758945616363322,6.6436e-05,0.026858
-2.8690546667275365,-3.9437125003345574,-7.829481549679057,-3.3462477860235302,0.0021680357014182998,0.0007164911478151378,0.0013519023820527227,0.0014808000496854222,0.127,-1.017,-0.285,0.00571719,0.24822219223312506,0.00044554,0.011362
-2.926435760062087,-3.9437125003345574,-7.829481549679057,-3.3462477860235302,0.0016645783541686479,0.0005501088634409057,0.001184579574589466,0.0012975237829265164,0.126,-1.066,-0.374,0.00469681,0.1628425588520392,0.00044449,0.0090402
-2.8690546667275365,-4.022586750341248,-7.829481549679057,-3.3462477860235302,0.0021680357014182998,0.0007164911478151378,0.0013519023820527227,0.0014808000496854222,0.048,-1.253,-0.285,0.00571719,0.24822219223312506,0.00044554,0.011362
-2.8690546667275365,-3.9437125003345574,-7.9860711806726385,-3.3462477860235302,0.0021680357014182998,0.0007164911478151378,0.0013519023820527227,0.0014808000496854222,0.127,-1.173,-0.285,0.00571719,0.24822219223312506,0.00044554,0.011362
-2.8690546667275365,-3.9437125003345574,-7.829481549679057,-3.4131727417440008,0.0021680357014182998,0.0007164911478151378,0.0013519023820527227,0.0014808000496854222,0.127,-1.017,-0.351,0.00571719,0.24822219223312506,0.00038207,0.011367
-2.975016122993491,-4.059607584668546,-7.37511513327089,-2.9711265292848763,0.0013308941527242575,0.0004398331072140756,0.001059214401574022,0.0011602056178766,0.01,-1.001,-0.081,0.00399013,0.09202661222481379,0.0010509,0.0074344
-3.034516445453361,-4.059607584668546,-7.37511513327089,-2.9711265292848763,0.0010119122934690499,0.00033441617228055135,0.0009235992137745169,0.0010116601463265888,0.01,-1.053,-0.179,0.00328162,0.007127856685213551,0.001049,0.005904
-2.975016122993491,-4.140799736361918,-7.37511513327089,-2.9711265292848763,0.0013308941527242575,0.0004398331072140756,0.001059214401574022,0.0011602056178766,-0.071,-1.244,-0.081,0.00399013,0.09202661222481379,0.0010509,0.0074344
-2.975016122993491,-4.059607584668546,-7.522617435936308,-2.9711265292848763,0.0013308941527242575,0.0004398331072140756,0.001059214401574022,0.0011602056178766,0.01,-1.148,-0.081,0.00399013,0.09202661222481379,0.0010509,0.0074344
-2.975016122993491,-4.059607584668546,-7.37511513327089,-3.030549059870574,0.0013308941527242575,0.0004398331072140756,0.001059214401574022,0.0011602056178766,0.01,-1.001,-0.14,0.00399013,0.09202661222481379,0.00091669,0.0074418
-3.0287926318311396,-4.069541788545374,-7.2971376300196855,-2.813574768824963,0.001038940076678965,0.00034334829798415595,0.0009358524209673322,0.0010250816404084146,0.0,-1.0,-0.016,0.0033432,0.015201924958617368,0.0015075,0.0060153
