log10_input_na+1,log10_input_h4sio4,log10_input_al+3,log10_input_co3-2,input_ca+2_mol_l,input_mg+2_mol_l,input_na+1_mol_l,input_k+1_mol_l,si_quartz,si_k-feld-d-ph,si_calcite-ph,total_base_cations_mol_l,base_cation_log_resdual,alkalinity,ionic_strength
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,-5.2839966563652006,0.002675470497583846,0.005007642468735144,0.0018299999999999994,0.0005341678219163682,0.905,-0.501,-2.139,0.01004727,0.4930876400226133,6.7132e-06,0.025162
-2.792299888474962,-3.1655792963184672,-9.169411331314855,-5.2839966563652006,0.0020792093044379313,0.003891628341144266,0.0016132441967903384,0.00047089789006487224,0.904,-0.544,-2.213,0.0080549,0.3970997199311372,6.6718e-06,0.019833
-2.7375489102695707,-3.2288908822448366,-9.169411331314855,-5.2839966563652006,0.002675470497583846,0.005007642468735144,0.0018299999999999994,0.0005341678219163682,0.841,-0.691,-2.139,0.01004727,0.4930876400226133,6.7132e-06,0.025162
-2.7375489102695707,-3.1655792963184672,-9.352799557941152,-5.2839966563652006,0.002675470497583846,0.005007642468735144,0.0018299999999999994,0.0005341678219163682,0.905,-0.684,-2.139,0.01004727,0.4930876400226133,6.7132e-06,0.025162
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,-5.389676589492504,0.002675470497583846,0.005007642468735144,0.0018299999999999994,0.0005341678219163682,0.905,-0.501,-2.244,0.01004727,0.4930876400226133,5.5856e-06,0.025163
-2.676466490669803,-3.4571325485710447,-8.964247450272365,-4.033808599669241,0.003544581819151189,0.0066343465448479326,0.0021063644157643443,0.0006148372088147451,0.614,-1.123,-0.809,0.012900140000000001,0.6016339903701681,9.4815e-05,0.032838
-2.729995820483199,-3.4571325485710447,-8.964247450272365,-4.033808599669241,0.002770169516793663,0.005184889360738215,0.0018621050569041923,0.0005435391270087254,0.613,-1.165,-0.879,0.01036074,0.5064303421588423,9.4413e-05,0.025991
-2.676466490669803,-3.5262751995424657,-8.964247450272365,-4.033808599669241,0.003544581819151189,0.0066343465448479326,0.0021063644157643443,0.0006148372088147451,0.545,-1.33,-0.809,0.012900140000000001,0.6016339903701681,9.4815e-05,0.032838
-2.676466490669803,-3.4571325485710447,-9.143532399277813,-4.033808599669241,0.003544581819151189,0.0066343465448479326,0.0021063644157643443,0.0006148372088147451,0.614,-1.302,-0.809,0.012900140000000001,0.6016339903701681,9.4815e-05,0.032838
-2.676466490669803,-3.4571325485710447,-8.964247450272365,-4.114484771662625,0.003544581819151189,0.0066343465448479326,0.0021063644157643443,0.0006148372088147451,0.614,-1.123,-0.89,0.012900140000000001,0.6016339903701681,7.8999e-05,0.032841
-2.8750755204833967,-3.9221314055849215,-7.324507050254849,-3.271411914155368,0.0014201916207400981,0.0026581537266744002,0.0013332895631627045,0.00038918053657838696,0.147,-1.036,-0.323,0.00580088,0.25453344834358965,0.00053428,0.013822
-2.9325770308930648,-3.9221314055849215,-7.324507050254849,-3.271411914155368,0.00108979277697932,0.002039750614723953,0.0011679465525909782,0.0003409177410449475,0.147,-1.084,-0.409,0.004638419999999999,0.15740963743463227,0.00053281,0.010803
-2.8750755204833967,-4.00057403369662,-7.324507050254849,-3.271411914155368,0.0014201916207400981,0.0026581537266744002,0.0013332895631627045,0.00038918053657838696,0.069,-1.271,-0.323,0.00580088,0.25453344834358965,0.00053428,0.013822
-2.8750755204833967,-3.9221314055849215,-7.470997191259946,-3.271411914155368,0.0014201916207400981,0.0026581537266744002,0.0013332895631627045,0.00038918053657838696,0.147,-1.183,-0.323,0.00580088,0.25453344834358965,0.00053428,0.013822
-2.8750755204833967,-3.9221314055849215,-7.324507050254849,-3.336840152438475,0.0014201916207400981,0.0026581537266744002,0.0013332895631627045,0.00038918053657838696,0.147,-1.036,-0.388,0.00580088,0.25453344834358965,0.00045977,0.013829
-2.971450796285191,-4.054690339789849,-6.8169261116471205,-2.8969518427458776,0.0009111636682212625,0.0017054128928253303,0.0010679457793929328,0.0003117280168869406,0.014,-1.006,-0.1,0.00399619,0.09268569552361619,0.0012578,0.0091084
-3.0308798122108946,-4.054690339789849,-6.8169261116471205,-2.8969518427458776,0.0006930081825570747,0.0012970941781222196,0.0009313655883513492,0.0002718609441188509,0.014,-1.057,-0.195,0.00319334,-0.004715272149952138,0.0012551,0.007085
-2.971450796285191,-4.135784146585646,-6.8169261116471205,-2.8969518427458776,0.0009111636682212625,0.0017054128928253303,0.0010679457793929328,0.0003117280168869406,-0.067,-1.25,-0.1,0.00399619,0.09268569552361619,0.0012578,0.0091084
-2.971450796285191,-4.054690339789849,-6.953264633880063,-2.8969518427458776,0.0009111636682212625,0.0017054128928253303,0.0010679457793929328,0.0003117280168869406,0.014,-1.143,-0.1,0.00399619,0.09268569552361619,0.0012578,0.0091084
-2.971450796285191,-4.054690339789849,-6.8169261116471205,-2.954890879600795,0.0009111636682212625,0.0017054128928253303,0.0010679457793929328,0.0003117280168869406,0.014,-1.006,-0.157,0.00399619,0.09268569552361619,0.001101,0.0091184
-3.0172385985125225,-4.068273715678283,-6.731312012462504,-2.738824534810527,0.0007379395548038277,0.0013811916286620707,0.0009610841200622047,0.00028053563447652313,0.0,-1.0,-0.019,0.00336076,0.017477066380519775,0.0018065,0.0074752
-3.077583370482773,-4.068273715678283,-6.731312012462504,-2.738824534810527,0.0005588963147110605,0.0010460787826642665,0.0008364050176537519,0.00024414242979236406,0.0,-1.052,-0.117,0.0026855499999999997,-0.07992719062594389,0.001803,0.0058039
-3.0172385985125225,-4.1496391899918486,-6.731312012462504,-2.738824534810527,0.0007379395548038277,0.0013811916286620707,0.0009610841200622047,0.00028053563447652313,-0.081,-1.244,-0.019,0.00336076,0.017477066380519775,0.0018065,0.0074752
-3.0172385985125225,-4.068273715678283,-6.865938252711754,-2.738824534810527,0.0007379395548038277,0.0013811916286620707,0.0009610841200622047,0.00028053563447652313,0.0,-1.135,-0.019,0.00336076,0.017477066380519775,0.0018065,0.0074752
-3.0172385985125225,-4.068273715678283,-6.731312012462504,-2.793601025506738,0.0007379395548038277,0.0013811916286620707,0.0009610841200622047,0.00028053563447652313,0.0,-1.0,-0.072,0.00336076,0.017477066380519775,0.0015926,0.0074863
-3.0274808739501067,-4.068273715678283,-6.722510524634721,-2.702950164142174,0.0007039409647160733,0.0013175569207651576,0.0009386833747744779,0.0002739969692745295,0.0,-1.0,-0.001,0.00323422,0.0008091252308894354,0.0019613,0.0071519
-3.088030491429109,-4.068273715678283,-6.722510524634721,-2.702950164142174,0.0005326439568323827,0.0009969425943428401,0.000816525041849502,0.00023833956456006556,0.0,-1.053,-0.1,0.0025844500000000003,-0.09659229865975642,0.0019576,0.0055507
-3.0274808739501067,-4.1496391899918486,-6.722510524634721,-2.702950164142174,0.0007039409647160733,0.0013175569207651576,0.0009386833747744779,0.0002739969692745295,-0.081,-1.244,-0.001,0.00323422,0.0008091252308894354,0.0019613,0.0071519
-3.0274808739501067,-4.068273715678283,-6.856960735127416,-2.702950164142174,0.0007039409647160733,0.0013175569207651576,0.0009386833747744779,0.0002739969692745295,0.0,-1.135,-0.001,0.00323422,0.0008091252308894354,0.0019613,0.0071519
-3.0274808739501067,-4.068273715678283,-6.722510524634721,-2.7570091674250174,0.0007039409647160733,0.0013175569207651576,0.0009386833747744779,0.0002739969692745295,0.0,-1.0,-0.053,0.00323422,0.0008091252308894354,0.0017319,0.0071633
